CAS_Number,Chemical_Name,Reactive_Group_IDs,Reactive_Groups
100-00-5,P-NITROCHLOROBENZENE,16;46,"Aryl Halides;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
100-01-6,"P-NITROANILINE, [SOLID]",13;46,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
100-02-7,4-NITROPHENOL,46;55,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Phenols and Cresols"
100-07-2,4-METHOXYBENZOYL CHLORIDE,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates"
100-14-1,"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-",31;46,"Halogenated Organic Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
100-15-2,N-METHYL-4-NITROANILINE,13;46,"Amines, Aromatic;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]",17;46;68,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic;Water and Aqueous Solutions"
100-19-6,P-NITROACETOPHENONE,38;46,"Ketones;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
100-21-0,TEREPHTHALIC ACID,2;35,"Acids, Carboxylic;Hydrocarbons, Aromatic"
100-22-1,"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE",14,"Amines, Phosphines, and Pyridines"
100-25-4,P-DINITROBENZENE,46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
100-27-6,P-NITROPHENETHYL ALCOHOL,8;46,"Alcohols and Polyols;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
100-38-9,"2-(N,N-DIETHYLAMINO)ETHANETHIOL",14;64,"Amines, Phosphines, and Pyridines;Sulfides, Organic"
100-51-6,BENZYL ALCOHOL,8,Alcohols and Polyols
100-57-2,PHENYLMERCURIC HYDROXIDE,18;49,"Bases, Strong;Organometallics"
100-64-1,CYCLOHEXANONE OXIME,52,Oximes
100-65-2,N-PHENYLHYDROXYLAMINE,8;14,"Alcohols and Polyols;Amines, Phosphines, and Pyridines"
100-73-2,"ACROLEIN DIMER, STABILIZED",9;28;34;56,"Aldehydes;Ethers;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds"
100-75-4,N-NITROSOPIPERIDINE,17;46,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
100-97-0,HEXAMETHYLENETETRAMINE,14,"Amines, Phosphines, and Pyridines"
10016-20-3,ALPHA-CYCLODEXTRIN,8,Alcohols and Polyols
1002-89-7,AMMONIUM STEARATE,47,Non-Redox-Active Inorganic Compounds
10022-31-8,BARIUM NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10025-73-7,CHROMIC CHLORIDE,47,Non-Redox-Active Inorganic Compounds
10025-91-9,ANTIMONY TRICHLORIDE,3;32;50,"Acids, Strong Non-oxidizing;Halogenating Agents;Oxidizing Agents, Strong"
10026-06-9,"STANNIC CHLORIDE, PENTAHYDRATE",3,"Acids, Strong Non-oxidizing"
10026-11-6,ZIRCONIUM TETRACHLORIDE,3,"Acids, Strong Non-oxidizing"
10026-13-8,PHOSPHORUS PENTACHLORIDE,3;32;50,"Acids, Strong Non-oxidizing;Halogenating Agents;Oxidizing Agents, Strong"
10026-17-2,COBALT FLUORIDE,59;61,"Reducing Agents, Weak;Salts, Basic"
10026-24-1,COBALT SULFATE HEPTAHYDRATE,60,"Salts, Acidic"
10028-22-5,FERRIC SULFATE,60,"Salts, Acidic"
10031-13-7,LEAD(II) ARSENITE,61,"Salts, Basic"
10031-87-5,2-ETHYLBUTYL ACETATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters"
10034-81-8,MAGNESIUM PERCHLORATE,50,"Oxidizing Agents, Strong"
10034-82-9,SODIUM CHROMATE TETRAHYDRATE,50;61,"Oxidizing Agents, Strong;Salts, Basic"
10034-96-5,MANGANESE(II) SULFATE MONOHYDRATE,60,"Salts, Acidic"
10039-54-0,HYDROXYLAMINE SULFATE,58;60,"Reducing Agents, Strong;Salts, Acidic"
10042-76-9,STRONTIUM NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10043-01-3,"ALUMINUM SULFATE, SOLID",60;68,"Salts, Acidic;Water and Aqueous Solutions"
10043-52-4,CALCIUM CHLORIDE,60,"Salts, Acidic"
10045-89-3,FERROUS AMMONIUM SULFATE,60,"Salts, Acidic"
10045-94-0,MERCURIC NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
10048-95-0,SODIUM ARSENATE HEPTAHYDRATE,51;61,"Oxidizing Agents, Weak;Salts, Basic"
10049-05-5,CHROMOUS CHLORIDE,58,"Reducing Agents, Strong"
10099-58-8,LANTHANUM CHLORIDE,60,"Salts, Acidic"
10099-74-8,LEAD NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic"
101-02-0,TRIPHENYL PHOSPHITE,59;66,"Reducing Agents, Weak;Sulfonates, Phosphonates, and Thiophosphonates, Organic"
101-05-3,ANILAZINE,14;16,"Amines, Phosphines, and Pyridines;Aryl Halides"
101-14-4,"4,4&#39;-METHYLENEBIS(2-CHLOROANILINE)",13;16,"Amines, Aromatic;Aryl Halides"
101-18-8,3-HYDROXY-N-PHENYLANILINE,14;55,"Amines, Phosphines, and Pyridines;Phenols and Cresols"
101-20-2,TRICLOCARBAN,12;13;16,"Amides and Imides;Amines, Aromatic;Aryl Halides"
101-21-3,ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE,16;20,Aryl Halides;Carbamates
101-25-7,"N,N&#39;-DINITROSOPENTAMETHYLENE TETRAMINE",14;17;46,"Amines, Phosphines, and Pyridines;Azo, Diazo, Azido, Hydrazine, and Azide Compounds;Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic"
101-27-9,BARBAN,11;16;20;31,"Alkynes, with No Acetylenic Hydrogen;Aryl Halides;Carbamates;Halogenated Organic Compounds"
101-39-3,ALPHA-METHYLCINNAMALDEHYDE,9;34;35,"Aldehydes;Hydrocarbons, Aliphatic Unsaturated;Hydrocarbons, Aromatic"
101-54-2,N-PHENYL-P-PHENYLENEDIAMINE,13,"Amines, Aromatic"
101-55-3,4-BROMOPHENYL PHENYL ETHER,16;28,Aryl Halides;Ethers
101-61-1,"4,4&#39;-METHYLENEBIS(N,N-DIMETHYL)BENZENAMINE",14,"Amines, Phosphines, and Pyridines"
101-67-7,"4,4&#39;-DIOCTYLDIPHENYLAMINE",14,"Amines, Phosphines, and Pyridines"
101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",37,Isocyanates and Isothiocyanates
101-70-2,"4,4&#39;-DIMETHOXYDIPHENYLAMINE",14,"Amines, Phosphines, and Pyridines"
101-72-4,N-ISOPROPYL-N&#39;-PHENYL-P-PHENYLENEDIAMINE,13,"Amines, Aromatic"
