substance,cas,selection_category,selection_reason,cameo_group,evidence_basis
"P-NITROANILINE, [SOLID]",100-01-6,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),13;46,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
4-NITROPHENOL,100-02-7,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),46;55,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
N-METHYL-4-NITROANILINE,100-15-2,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal),13;46,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE",100-22-1,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),14,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ANTIMONY TRICHLORIDE,10025-91-9,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(metal;water), 위험상호작용: oxidizer",3;32;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
"STANNIC CHLORIDE, PENTAHYDRATE",10026-06-9,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal),3,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
ZIRCONIUM TETRACHLORIDE,10026-11-6,HAZARD-RELEVANT,KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water),3,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
PHOSPHORUS PENTACHLORIDE,10026-13-8,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal;water), 위험상호작용: oxidizer",3;32;50,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
COBALT FLUORIDE,10026-17-2,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",59;61,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
HYDROXYLAMINE SULFATE,10039-54-0,HAZARD-RELEVANT,"KOSHA MSDS §10.5(피해야 할 물질) 실측 구체적 물질군 근거 존재(combustible_reducing;metal), 위험상호작용: reducer",58;60,msds_sections §10.5 원문 재파싱 (금속/물/산화제 등 구체적 물질군)
