cas_number,name_ko,core_axis,origin,kosha,msds,rag_chunk,indexed,cameo,tier
100-21-0,테레프탈산,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
100-51-6,벤질알코올,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
100-64-1,사이클로헥사논 옥심,representative,신규편입,True,True,True,True,True,A · 계약 4조건 전부 충족
10028-14-5,노벨륨,periodic_element,CORE207,False,False,False,False,False,X · 서비스 불가(KOSHA 미등재)
10043-01-3,황산알루미늄,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
10043-92-2,라돈,periodic_element,CORE207,True,True,False,False,False,C · 상세정보만
10099-74-8,질산납(II),educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
101-68-8,다이페닐메테인-4-4'-다이아이소사이아네이트,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
102-54-5,페로센,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
102-71-6,트라이에탄올아민,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
10361-37-2,염화바륨,educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
104-15-4,p-톨루엔설폰산,educational,신규편입,True,True,True,True,True,A · 계약 4조건 전부 충족
105-60-2,카프로락탐,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
106-89-8,에피클로로하이드린,representative,신규편입,True,True,False,False,False,C · 상세정보만
107-21-1,에틸렌글라이콜,practical,신규편입,True,True,False,False,True,B1 · 검색 근거 결여(판정·상세 가능)
108-24-7,무수아세트산,educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
108-88-3,톨루엔,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
108-95-2,페놀,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
109-99-9,테트라하이드로퓨란,fundamental,신규편입,True,True,False,False,False,C · 상세정보만
110-54-3,헥세인,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
112-02-7,염화 헥사데실트라이메틸암모늄,representative,신규편입,True,True,True,True,True,A · 계약 4조건 전부 충족
124-09-4,헥사메틸렌다이아민,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
124-38-9,이산화탄소,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1305-62-0,수산화칼슘,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1305-78-8,산화칼슘,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1309-37-1,삼산화이철,representative,CORE207,True,True,False,False,False,C · 상세정보만
1310-58-3,수산화칼륨,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1310-65-2,수산화리튬 용액,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1310-73-2,수산화나트륨,fundamental,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1313-60-6,과산화나트륨,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
1313-82-2,황화나트륨,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1330-20-7,자일렌,practical,신규편입,True,True,False,False,False,C · 상세정보만
1333-74-0,수소,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1333-82-0,삼산화크로뮴,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
1333-86-4,카본블랙,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
1336-21-6,수산화암모늄,educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
13494-80-9,텔루륨,periodic_element,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
141-78-6,아세트산에틸,fundamental,신규편입,True,True,False,False,False,C · 상세정보만
143-33-9,사이안화나트륨,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
144-55-8,탄산수소나트륨,educational,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
151-21-3,도데실황산나트륨,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
151-50-8,사이안화칼륨,practical,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
15630-89-4,과탄산나트륨,practical,CORE207,True,True,True,False,True,B1 · 검색 근거 결여(판정·상세 가능)
16940-66-2,수소화붕소나트륨,representative,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
1762-95-4,싸이오사이안산암모늄,educational,CORE207,True,True,True,True,True,A · 계약 4조건 전부 충족
20859-73-8,인화알루미늄,representative,신규편입,True,True,False,False,True,B1 · 검색 근거 결여(판정·상세 가능)
