candidate_cas,candidate_name,group_id,group_name,group_before_count,true_cameo_groups,kosha_status,section10_categories,section10_has_real_evidence,redundant_with_existing,pubchem_verified,in_eval_testset,independence,decision,decision_reason
2312-35-8,PROPARGITE,10,"Alkynes, with Acetylenic Hydrogen",1,10;27;28;34,kosha_registered,no_data,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹10(현재 1종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
23950-58-5,"3,5-DICHLORO-N-(1,1-DIMETHYL-2-PROPYNYL)BENZAMIDE",10,"Alkynes, with Acetylenic Hydrogen",1,10;12;16,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹10(현재 1종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
57-63-6,ETHINYLESTRADIOL,10,"Alkynes, with Acetylenic Hydrogen",1,8;10;34,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹10(현재 1종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
59355-75-8,"METHYLACETYLENE AND PROPADIENE MIXTURE, STABILIZED",10,"Alkynes, with Acetylenic Hydrogen",1,10;34,kosha_registered,no_data,False,False,NO_PUBCHEM_DATA,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹10(현재 1종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
1068-27-5,"2,5-DIMETHYL-2,5-BIS(TERT-BUTYLPEROXY)-3-HEXYNE",11,"Alkynes, with No Acetylenic Hydrogen",1,11;34;53,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹11(현재 1종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
2216-94-6,ETHYL PHENYLPROPIOLATE,11,"Alkynes, with No Acetylenic Hydrogen",1,11;27;34,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
309-36-4,SODIUM METHOHEXITAL,11,"Alkynes, with No Acetylenic Hydrogen",1,11;12;19;34;61,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
55406-53-6,3-IODO-2-PROPYNYL BUTYLCARBAMATE,11,"Alkynes, with No Acetylenic Hydrogen",1,11;20;31;34,kosha_registered,no_data,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹11(현재 1종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
105-40-8,"N-METHYLCARBAMIC ACID, ETHYL ESTER",20,Carbamates,2,20,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
10605-21-7,CARBENDAZIM,20,Carbamates,2,14;20,kosha_registered,no_data,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹20(현재 2종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
1111-78-0,AMMONIUM CARBAMATE,20,Carbamates,2,20;60,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹20(현재 2종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
1129-41-5,METOLCARB,20,Carbamates,2,20,kosha_registered,combustible_reducing;metal;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹20(현재 2종) §10 실질 근거(['combustible_reducing', 'metal', 'water']) 추가, 기존 조합과 비중복"
114-26-1,PROPOXUR,20,Carbamates,2,20;28,kosha_registered,no_data,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹20(현재 2종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
10137-69-6,CYCLOHEXENYLTRICHLOROSILANE,22,Chlorosilanes,1,22;34,kosha_abstain,,False,False,MATCH,True,"INDEPENDENCE_UNCLEAR(평가셋에 이미 등장 — 예상 밖, 원인 확인 필요)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
1125-27-5,ETHYLPHENYLDICHLOROSILANE,22,Chlorosilanes,1,22,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
26571-79-9,CHLOROPHENYLTRICHLOROSILANE,22,Chlorosilanes,1,16;22,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
27137-85-5,DICHLOROPHENYLTRICHLOROSILANE,22,Chlorosilanes,1,16;22,kosha_registered,metal;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹22(현재 1종) §10 실질 근거(['metal', 'water']) 추가, 기존 조합과 비중복"
5894-60-0,HEXADECYLTRICHLOROSILANE,22,Chlorosilanes,1,22,kosha_registered,combustible_reducing;metal;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹22(현재 1종) §10 실질 근거(['combustible_reducing', 'metal', 'water']) 추가, 기존 조합과 비중복"
110-44-1,SORBIC ACID,23,Conjugated Dienes,1,2;23;34,kosha_registered,combustible_reducing;water,True,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,"이미 동일 true_cameo_groups=(2, 23, 34) 조합 물질이 그룹23 내 존재 — 매트릭스 엔진 관점에서 정보량 중복"
11103-57-4,VITAMIN A,23,Conjugated Dienes,1,8;23;34,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
123-35-3,"MYRCENE, [LIQUID]",23,Conjugated Dienes,1,23;34,kosha_registered,no_data,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹23(현재 1종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
129-17-9,SULFAN BLUE,23,Conjugated Dienes,1,13;23;57;61,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹23(현재 1종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
1406-16-2,VITAMIN D3 EMULSIFIABLE,23,Conjugated Dienes,1,8;23;34,kosha_abstain,,False,False,ERROR,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
135072-82-1,4-DIMETHYLAMINO-6-(2-DIMETHYLAMINOETHOXY)TOLUENE-2-DIAZONIUM ZINC CHLORIDE,25,Diazonium Salts,0,14;17;25;28;60,kosha_abstain,,False,False,ERROR,True,"INDEPENDENCE_UNCLEAR(평가셋에 이미 등장 — 예상 밖, 원인 확인 필요)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
15005-97-7,3-(2-HYDROXYETHOXY)-4-PYRROLIDIN-1-YL BENZENEDIAZONIUM ZINC CHLORIDE,25,Diazonium Salts,0,8;14;17;25;28;35;60,kosha_abstain,,False,False,ERROR,True,"INDEPENDENCE_UNCLEAR(평가셋에 이미 등장 — 예상 밖, 원인 확인 필요)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
15557-00-3,3-CHLORO-4-DIETHYLAMINOBENZENEDIAZONIUM ZINC CHLORIDE,25,Diazonium Salts,0,13;16;17;25;60,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
21723-86-4,4-[BENZYL(ETHYL)AMINO]-3-ETHOXYBENZENEDIAZONIUM ZINC CHLORIDE,25,Diazonium Salts,0,13;17;25;28;49;60,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
4421-50-5,4-[BENZYL(METHYL)AMINO]-3-ETHOXYBENZENEDIAZONIUM ZINC CHLORIDE,25,Diazonium Salts,0,13;17;25;28;60,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
111512-56-2,"1,1-DICHLORO-1,2,3,3,3-PENTAFLUOROPROPANE",30,Fluorinated Organic Compounds,1,30,kosha_abstain,,False,False,MATCH,True,"INDEPENDENCE_UNCLEAR(평가셋에 이미 등장 — 예상 밖, 원인 확인 필요)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
1172-18-5,FLURAZEPAM DIHYDROCHLORIDE,30,Fluorinated Organic Compounds,1,12;14;16;30;60,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
127564-92-5,DICHLOROPENTAFLUOROPROPANE,30,Fluorinated Organic Compounds,1,30,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
128903-21-9,"2,2-DICHLORO-1,1,1,3,3-PENTAFLUOROPROPANE",30,Fluorinated Organic Compounds,1,30,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
13098-39-0,HEXAFLUOROACETONE SESQUIHYDRATE,30,Fluorinated Organic Compounds,1,30;38,kosha_abstain,,False,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
11099-03-9,C.I. SOLVENT BLACK 5,36,Insufficient Information for Classification,1,36,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹36(현재 1종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
8005-02-5,C.I. SOLVENT BLACK 7,36,Insufficient Information for Classification,1,36,kosha_registered,combustible_reducing;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹36(현재 1종) §10 실질 근거(['combustible_reducing', 'water']) 추가, 기존 조합과 비중복"
8016-38-4,ORANGE FLOWER WATER,36,Insufficient Information for Classification,1,36;68,kosha_registered,no_data,False,False,ERROR,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",HOLD,"그룹36(현재 1종) §10 근거 빈약 — 자동판정 애매, 사람 검토 필요"
102-36-3,"ISOCYANIC ACID, 3,4-DICHLOROPHENYL ESTER",37,Isocyanates and Isothiocyanates,2,16;37,kosha_registered,combustible_reducing;metal;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹37(현재 2종) §10 실질 근거(['combustible_reducing', 'metal', 'water']) 추가, 기존 조합과 비중복"
10347-54-3,"1,4-BIS(METHYLISOCYANATE)CYCLOHEXANE",37,Isocyanates and Isothiocyanates,2,37,kosha_abstain,,False,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
104-12-1,P-CHLOROPHENYL ISOCYANATE,37,Isocyanates and Isothiocyanates,2,16;37,kosha_registered,combustible_reducing;metal;water,True,False,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",ADD,"그룹37(현재 2종) §10 실질 근거(['combustible_reducing', 'metal', 'water']) 추가, 기존 조합과 비중복"
104-49-4,"1,4-PHENYLENE DIISOCYANATE",37,Isocyanates and Isothiocyanates,2,37,kosha_abstain,,False,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
110-78-1,N-PROPYL ISOCYANATE,37,Isocyanates and Isothiocyanates,2,37,kosha_registered,metal;water,True,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,"이미 동일 true_cameo_groups=(37,) 조합 물질이 그룹37 내 존재 — 매트릭스 엔진 관점에서 정보량 중복"
12058-85-4,SODIUM PHOSPHIDE,44,"Nitrides, Phosphides, Carbides, and Silicides",1,44,kosha_registered,water,True,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,"이미 동일 true_cameo_groups=(44,) 조합 물질이 그룹44 내 존재 — 매트릭스 엔진 관점에서 정보량 중복"
12737-18-7,CALCIUM SILICIDE,44,"Nitrides, Phosphides, Carbides, and Silicides",1,44,kosha_abstain,,False,True,ERROR,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
1299-86-1,ALUMINUM CARBIDE,44,"Nitrides, Phosphides, Carbides, and Silicides",1,44,kosha_abstain,,False,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",DATA_UNAVAILABLE,KOSHA 미등록 또는 미시도 — MSDS 원문 자체가 없어 판단 불가
1303-00-0,GALLIUM ARSENIDE,44,"Nitrides, Phosphides, Carbides, and Silicides",1,44,kosha_registered,no_data,False,True,MATCH,False,"OK(evaluation_data 미등장, Wave1/eval 파생 아님)",REJECT,"이미 동일 true_cameo_groups=(44,) 조합 물질이 그룹44 내 존재 — 매트릭스 엔진 관점에서 정보량 중복"
