cas,chemical_name,wave,original_selection_status,selection_source,true_cameo_groups,sole_group_of,section10_categories,section10_has_real_evidence,signature_peer_count,signature_rank,unique_risk_pair_types,safety_flag,in_eval_testset_FYI_NOT_USED_IN_DECISION,recommendation,reason
103-75-3,ETHOXYDIHYDROPYRAN,wave1,UNSUPPORTED,wave1_topup,1;28;34,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (1, 28, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
100-21-0,TEREPHTHALIC ACID,wave1,UNSUPPORTED,wave1_topup,2;35,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (2, 35)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
104-01-8,4-METHOXYPHENYLACETIC ACID,wave1,UNSUPPORTED,wave1_topup,2;28,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (2, 28)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
107-94-8,3-CHLOROPROPIONIC ACID,wave1,UNSUPPORTED,wave1_topup,2;31,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (2, 31)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
107-97-1,SARCOSINE,wave1,UNSUPPORTED,wave1_topup,2;12,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (2, 12)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
109-52-4,PENTANOIC ACID,wave1,UNSUPPORTED,wave1_topup,2,,combustible_reducing;metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (2,)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'metal', 'water'])"
10025-91-9,ANTIMONY TRICHLORIDE,wave1,UNSUPPORTED,wave1_topup,3;32;50,,metal;water,True,3,rank_3_of_4,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(3, 32, 50) 물질 4종 중 3순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
10026-06-9,"STANNIC CHLORIDE, PENTAHYDRATE",wave1,UNSUPPORTED,wave1_topup,3,,combustible_reducing;metal;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(3,) 물질 2종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
10026-11-6,ZIRCONIUM TETRACHLORIDE,wave1,UNSUPPORTED,wave1_topup,3,,combustible_reducing;metal;water,True,1,rank_2_of_2,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(3,) 물질 2종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
10026-13-8,PHOSPHORUS PENTACHLORIDE,wave1,UNSUPPORTED,wave1_topup,3;32;50,,combustible_reducing;metal;water,True,3,rank_1_of_4,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(3, 32, 50) 물질 4종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'metal', 'water'])"
1271-19-8,TITANOCENE DICHLORIDE,wave1,UNSUPPORTED,wave1_topup,3;35;49,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (3, 35, 49)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
42615-29-2,PHENYLSULPHONIC ACID,wave1,REVIEW,wave1_topup,4,,combustible_reducing;water,True,5,rank_4_of_6,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(4,) 물질 6종 중 4순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
104-15-4,"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID",wave1,UNSUPPORTED,wave1_topup,4,,metal,True,5,rank_5_of_6,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(4,) 물질 6종 중 5순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
1120-71-4,PROPANE SULTONE,wave1,UNSUPPORTED,wave1_topup,4;66,,combustible_reducing;metal;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (4, 66)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'metal', 'water'])"
1333-39-7,"PHENOLSULFONIC ACID, LIQUID",wave1,UNSUPPORTED,wave1_topup,4,,combustible_reducing;water,True,5,rank_3_of_6,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(4,) 물질 6종 중 3순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
27176-87-0,DODECYLBENZENESULFONIC ACID,wave1,UNSUPPORTED,wave1_topup,4,,metal,True,5,rank_6_of_6,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(4,) 물질 6종 중 6순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
107-35-7,L-TAURINE,wave1,REVIEW,wave1_topup,5;14,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (5, 14)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
10265-92-6,METHAMIDOPHOS,wave1,UNSUPPORTED,wave1_topup,5;27,,no_data,False,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,REVIEW,"true_groups 조합 (5, 27)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarce 아님, 자동판정 보류"
105-16-8,"DIETHYLAMINOETHYLMETHACRYLATE, [LIQUID]",wave1,UNSUPPORTED,wave1_topup,6;14;56,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (6, 14, 56)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
100-07-2,4-METHOXYBENZOYL CHLORIDE,wave1,UNSUPPORTED,wave1_topup,7,,no_data,False,1,rank_2_of_2,0,NOT_CHECKED,True,REMOVE_CANDIDATE,"동일 true_groups=(7,) 물질 2종 중 2순위 + §10 실질근거 없음 — 제거해도 coverage 손실 없음"
103-80-0,PHENYLACETYL CHLORIDE,wave1,UNSUPPORTED,wave1_topup,7,,metal;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(7,) 물질 2종 중 §10 근거 최상위(자기 근거 ['metal', 'water'])"
105-11-3,P-QUINONE DIOXIME,wave1,REVIEW,wave1_topup,8;14;34,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (8, 14, 34)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
105-59-9,METHYLDIETHANOLAMINE,wave1,REVIEW,wave1_topup,8;14,,combustible_reducing;water,True,1,rank_2_of_2,0,NOT_CHECKED,True,MERGE_CANDIDATE,"동일 true_groups=(8, 14) 물질 2종 중 2순위 — 자기 §10 근거는 있으나 상위 대표물질과 중복, 통합 검토 대상"
106-24-1,GERANIOL,wave1,REVIEW,wave1_topup,8;34,,combustible_reducing;water,True,0,unique_signature_no_duplicate,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"true_groups 조합 (8, 34)이 dataset 내 유일(중복 없음) + 자기 §10 실질근거(['combustible_reducing', 'water'])"
100-51-6,BENZYL ALCOHOL,wave1,UNSUPPORTED,wave1_topup,8,,combustible_reducing;water,True,1,rank_1_of_2,0,NOT_CHECKED,True,KEEP_EMPIRICAL,"동일 true_groups=(8,) 물질 2종 중 §10 근거 최상위(자기 근거 ['combustible_reducing', 'water'])"
