query_id,cas_a,cas_b,gold_chunk,gold_chunk_cas,rank_426,in_259_valid
pair::13983-17-0::7722-64-7::t0,13983-17-0,7722-64-7,sec::13983-17-0::10,13983-17-0,2,True
pair::13983-17-0::7722-64-7::t0,13983-17-0,7722-64-7,sec::13983-17-0::2,13983-17-0,3,True
pair::13983-17-0::7722-64-7::t0,13983-17-0,7722-64-7,sec::7722-64-7::10,7722-64-7,1,True
pair::13983-17-0::7722-64-7::t0,13983-17-0,7722-64-7,sec::7722-64-7::2,7722-64-7,9,True
pair::13983-17-0::7722-64-7::t1,13983-17-0,7722-64-7,sec::13983-17-0::10,13983-17-0,2,True
pair::13983-17-0::7722-64-7::t1,13983-17-0,7722-64-7,sec::13983-17-0::2,13983-17-0,4,True
pair::13983-17-0::7722-64-7::t1,13983-17-0,7722-64-7,sec::7722-64-7::10,7722-64-7,1,True
pair::13983-17-0::7722-64-7::t1,13983-17-0,7722-64-7,sec::7722-64-7::2,7722-64-7,3,True
pair::13983-17-0::7722-64-7::t2,13983-17-0,7722-64-7,sec::13983-17-0::10,13983-17-0,2,True
pair::13983-17-0::7722-64-7::t2,13983-17-0,7722-64-7,sec::13983-17-0::2,13983-17-0,3,True
pair::13983-17-0::7722-64-7::t2,13983-17-0,7722-64-7,sec::7722-64-7::10,7722-64-7,4,True
pair::13983-17-0::7722-64-7::t2,13983-17-0,7722-64-7,sec::7722-64-7::2,7722-64-7,1,True
pair::13983-17-0::7722-64-7::t3,13983-17-0,7722-64-7,sec::13983-17-0::10,13983-17-0,1,True
pair::13983-17-0::7722-64-7::t3,13983-17-0,7722-64-7,sec::13983-17-0::2,13983-17-0,3,True
pair::13983-17-0::7722-64-7::t3,13983-17-0,7722-64-7,sec::7722-64-7::10,7722-64-7,2,True
pair::13983-17-0::7722-64-7::t3,13983-17-0,7722-64-7,sec::7722-64-7::2,7722-64-7,,True
pair::13983-17-0::7722-64-7::t4,13983-17-0,7722-64-7,sec::13983-17-0::10,13983-17-0,2,True
pair::13983-17-0::7722-64-7::t4,13983-17-0,7722-64-7,sec::13983-17-0::2,13983-17-0,4,True
pair::13983-17-0::7722-64-7::t4,13983-17-0,7722-64-7,sec::7722-64-7::10,7722-64-7,1,True
pair::13983-17-0::7722-64-7::t4,13983-17-0,7722-64-7,sec::7722-64-7::2,7722-64-7,3,True
pair::10026-06-9::105-87-3::t0,10026-06-9,105-87-3,sec::10026-06-9::10,10026-06-9,1,True
pair::10026-06-9::105-87-3::t0,10026-06-9,105-87-3,sec::10026-06-9::2,10026-06-9,2,True
pair::10026-06-9::105-87-3::t0,10026-06-9,105-87-3,sec::105-87-3::10,105-87-3,4,True
pair::10026-06-9::105-87-3::t0,10026-06-9,105-87-3,sec::105-87-3::2,105-87-3,15,True
pair::10026-06-9::105-87-3::t1,10026-06-9,105-87-3,sec::10026-06-9::10,10026-06-9,1,True
pair::10026-06-9::105-87-3::t1,10026-06-9,105-87-3,sec::10026-06-9::2,10026-06-9,2,True
pair::10026-06-9::105-87-3::t1,10026-06-9,105-87-3,sec::105-87-3::10,105-87-3,4,True
pair::10026-06-9::105-87-3::t1,10026-06-9,105-87-3,sec::105-87-3::2,105-87-3,13,True
pair::10026-06-9::105-87-3::t2,10026-06-9,105-87-3,sec::10026-06-9::10,10026-06-9,1,True
pair::10026-06-9::105-87-3::t2,10026-06-9,105-87-3,sec::10026-06-9::2,10026-06-9,2,True
pair::10026-06-9::105-87-3::t2,10026-06-9,105-87-3,sec::105-87-3::10,105-87-3,6,True
pair::10026-06-9::105-87-3::t2,10026-06-9,105-87-3,sec::105-87-3::2,105-87-3,9,True
pair::10026-06-9::105-87-3::t3,10026-06-9,105-87-3,sec::10026-06-9::10,10026-06-9,1,True
pair::10026-06-9::105-87-3::t3,10026-06-9,105-87-3,sec::10026-06-9::2,10026-06-9,3,True
pair::10026-06-9::105-87-3::t3,10026-06-9,105-87-3,sec::105-87-3::10,105-87-3,4,True
pair::10026-06-9::105-87-3::t3,10026-06-9,105-87-3,sec::105-87-3::2,105-87-3,11,True
pair::10026-06-9::105-87-3::t4,10026-06-9,105-87-3,sec::10026-06-9::10,10026-06-9,1,True
pair::10026-06-9::105-87-3::t4,10026-06-9,105-87-3,sec::10026-06-9::2,10026-06-9,2,True
pair::10026-06-9::105-87-3::t4,10026-06-9,105-87-3,sec::105-87-3::10,105-87-3,10,True
pair::10026-06-9::105-87-3::t4,10026-06-9,105-87-3,sec::105-87-3::2,105-87-3,6,True
pair::100-07-2::105-59-9::t0,100-07-2,105-59-9,sec::100-07-2::10,100-07-2,1,False
pair::100-07-2::105-59-9::t0,100-07-2,105-59-9,sec::100-07-2::2,100-07-2,3,False
pair::100-07-2::105-59-9::t0,100-07-2,105-59-9,sec::105-59-9::10,105-59-9,4,False
pair::100-07-2::105-59-9::t0,100-07-2,105-59-9,sec::105-59-9::2,105-59-9,5,False
pair::100-07-2::105-59-9::t1,100-07-2,105-59-9,sec::100-07-2::10,100-07-2,1,False
pair::100-07-2::105-59-9::t1,100-07-2,105-59-9,sec::100-07-2::2,100-07-2,2,False
pair::100-07-2::105-59-9::t1,100-07-2,105-59-9,sec::105-59-9::10,105-59-9,4,False
pair::100-07-2::105-59-9::t1,100-07-2,105-59-9,sec::105-59-9::2,105-59-9,3,False
pair::100-07-2::105-59-9::t2,100-07-2,105-59-9,sec::100-07-2::10,100-07-2,1,False
pair::100-07-2::105-59-9::t2,100-07-2,105-59-9,sec::100-07-2::2,100-07-2,2,False
pair::100-07-2::105-59-9::t2,100-07-2,105-59-9,sec::105-59-9::10,105-59-9,19,False
pair::100-07-2::105-59-9::t2,100-07-2,105-59-9,sec::105-59-9::2,105-59-9,4,False
pair::100-07-2::105-59-9::t3,100-07-2,105-59-9,sec::100-07-2::10,100-07-2,1,False
pair::100-07-2::105-59-9::t3,100-07-2,105-59-9,sec::100-07-2::2,100-07-2,3,False
pair::100-07-2::105-59-9::t3,100-07-2,105-59-9,sec::105-59-9::10,105-59-9,2,False
pair::100-07-2::105-59-9::t3,100-07-2,105-59-9,sec::105-59-9::2,105-59-9,6,False
pair::100-07-2::105-59-9::t4,100-07-2,105-59-9,sec::100-07-2::10,100-07-2,2,False
pair::100-07-2::105-59-9::t4,100-07-2,105-59-9,sec::100-07-2::2,100-07-2,1,False
pair::100-07-2::105-59-9::t4,100-07-2,105-59-9,sec::105-59-9::10,105-59-9,5,False
pair::100-07-2::105-59-9::t4,100-07-2,105-59-9,sec::105-59-9::2,105-59-9,3,False
pair::10118-76-0::102-67-0::t0,10118-76-0,102-67-0,sec::10118-76-0::10,10118-76-0,1,True
pair::10118-76-0::102-67-0::t0,10118-76-0,102-67-0,sec::10118-76-0::2,10118-76-0,3,True
pair::10118-76-0::102-67-0::t0,10118-76-0,102-67-0,sec::102-67-0::10,102-67-0,6,True
pair::10118-76-0::102-67-0::t0,10118-76-0,102-67-0,sec::102-67-0::2,102-67-0,,True
pair::10118-76-0::102-67-0::t1,10118-76-0,102-67-0,sec::10118-76-0::10,10118-76-0,3,True
pair::10118-76-0::102-67-0::t1,10118-76-0,102-67-0,sec::10118-76-0::2,10118-76-0,4,True
pair::10118-76-0::102-67-0::t1,10118-76-0,102-67-0,sec::102-67-0::10,102-67-0,1,True
pair::10118-76-0::102-67-0::t1,10118-76-0,102-67-0,sec::102-67-0::2,102-67-0,2,True
