cas,chemical_name,phase4_status,phase4_reason,merge_cluster_id,representative_cas,true_cameo_groups,group_names,in_426,in_259,n_gold_queries,n_queries_dropped_from_259,hit_rate_10_426,mean_rank_426,mrr_426,R_tier,E_score,has_own_s10_evidence,has_own_s2_content,C_scarce_in_259,scarce_groups_259,D_cluster_total_size,S_data_available,safety_flag,phase6_status,phase6_reason,scenario_selection_only,scenario_selection_plus_retrieval,scenario_retrieval_heavy,scenario_coverage_heavy,scenario_stable,scenario_retain_count
100-07-2,4-METHOXYBENZOYL CHLORIDE,REMOVE_CONFIRMED,"동일 그룹조합((7,)) 대표물질 103-80-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,103-80-0,7,"Acyl Halides, Sulfonyl Halides, and Chloroformates",True,False,40,10,1.0,1.62,0.7312,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=40) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
3486-35-9,ZINC CARBONATE,REMOVE_CONFIRMED,"동일 그룹조합((21,)) 대표물질 1317-65-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,1317-65-3,21,Carbonate Salts,True,False,10,0,1.0,2.9,0.6517,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=10) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
10031-87-5,2-ETHYLBUTYL ACETATE,REMOVE_CONFIRMED,"동일 그룹조합((27,)) 대표물질 103-23-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,103-23-1,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",True,False,60,20,1.0,2.38,0.6248,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=60) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
102-16-9,BENZYL PHENYLACETATE,REMOVE_CONFIRMED,"동일 그룹조합((27,)) 대표물질 103-23-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,103-23-1,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",True,False,20,0,1.0,1.9,0.6542,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=20) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
103-09-3,ETHYLHEXYL ACETATE,REMOVE_CONFIRMED,"동일 그룹조합((27,)) 대표물질 103-23-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,103-23-1,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",True,False,50,20,0.96,4.76,0.3199,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.96(n=50) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
107-81-3,2-BROMOPENTANE,REMOVE_CONFIRMED,"동일 그룹조합((31,)) 대표물질 107-04-0(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,107-04-0,31,Halogenated Organic Compounds,True,False,30,20,0.9667,2.97,0.4467,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.9667(n=30) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
1338-02-9,COPPER NAPHTHENATE,REMOVE_CONFIRMED,"동일 그룹조합((33, 61)) 대표물질 151-21-3(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,151-21-3,33;61,"Hydrocarbons, Aliphatic Saturated;Salts, Basic",True,False,20,10,0.95,3.7,0.4158,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=0.95(n=20) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
110-13-4,"2,5-HEXANEDIONE",REMOVE_CONFIRMED,"동일 그룹조합((38,)) 대표물질 106-51-4(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,106-51-4,38,Ketones,True,False,60,20,0.6333,7.72,0.1948,MEDIUM,1,False,True,False,,2,True,NOT_CHECKED,REVIEW,retrieval 근거 애매(MEDIUM),0.38,0.55,0.59,0.29,False,2
7440-09-7,POTASSIUM,REMOVE_CONFIRMED,"동일 그룹조합((40,)) 대표물질 7439-93-2(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,7439-93-2,40,"Metals, Alkali, Very Active",True,False,0,0,,,,NO_DATA,1,False,True,True,40,2,True,NOT_CHECKED,RETAIN_COVERAGE,259 기준 재계산 시 소속 그룹(40)이 신규로 대표물질 <=2종(누적 제거 효과) — 개별판단이 놓친 부분,0.78,0.66,0.51,0.86,True,4
10124-48-8,MERCURY AMMONIUM CHLORIDE,REMOVE_CONFIRMED,"동일 그룹조합((42, 47)) 대표물질 10112-91-1(PHASE3_KEEP_EMPIRICAL)이 이미 확정 KEEP — 제거해도 그룹/매트릭스 coverage 불변(수학적 보장), §10 실질근거도 없음",,10112-91-1,42;47,"Metals, Less Reactive agents;Non-Redox-Active Inorganic Compounds",True,False,30,0,1.0,2.3,0.6937,HIGH,1,False,True,False,,2,True,NOT_CHECKED,RETAIN_RETRIEVAL,426에서 자기 청크 hit_rate@10=1.0(n=30) — 실제 검색 기여 확인됨,0.38,0.67,0.83,0.33,False,2
