cas,chemical_name,n_tested,hit_rate_10,status
110-13-4,"2,5-HEXANEDIONE",2,1.0,REVIEW_SUPPORTED
10431-47-7,POTASSIUM SELENITE,0,,REVIEW_NOT_TESTED
7440-43-9,CADMIUM,0,,REVIEW_NOT_TESTED
7440-62-2,VANADIUM (FUME OR DUST),0,,REVIEW_NOT_TESTED
7782-49-2,SELENIUM POWDER,0,,REVIEW_NOT_TESTED
13494-80-9,TELLURIUM,1,0.0,REVIEW_UNSUPPORTED
7440-28-0,THALLIUM,2,0.5,REVIEW_SUPPORTED
7440-38-2,ARSENIC,1,1.0,REVIEW_SUPPORTED
7440-55-3,GALLIUM,2,1.0,REVIEW_SUPPORTED
7783-33-7,"MERCURIC POTASSIUM IODIDE, [SOLID]",0,,REVIEW_NOT_TESTED
7783-35-9,MERCURIC SULFATE,1,0.0,REVIEW_UNSUPPORTED
7783-36-0,MERCUROUS SULFATE,0,,REVIEW_NOT_TESTED
10326-21-3,MAGNESIUM CHLORATE,0,,REVIEW_NOT_TESTED
10361-95-2,ZINC CHLORATE,2,1.0,REVIEW_SUPPORTED
1313-60-6,SODIUM PEROXIDE,0,,REVIEW_NOT_TESTED
1314-62-1,VANADIUM PENTOXIDE,1,0.0,REVIEW_UNSUPPORTED
13530-65-9,ZINC CHROMATE,1,0.0,REVIEW_UNSUPPORTED
13765-19-0,CALCIUM CHROMATE,2,1.0,REVIEW_SUPPORTED
14519-07-4,ZINC BROMATE,2,0.5,REVIEW_SUPPORTED
23414-72-4,ZINC PERMANGANATE,1,0.0,REVIEW_UNSUPPORTED
2893-78-9,SODIUM DICHLORO-S-TRIAZINETRIONE,0,,REVIEW_NOT_TESTED
507-40-4,TERT-BUTYL HYPOCHLORITE,1,0.0,REVIEW_UNSUPPORTED
546-67-8,LEAD TETRAACETATE,1,0.0,REVIEW_UNSUPPORTED
7775-11-3,SODIUM CHROMATE,1,0.0,REVIEW_UNSUPPORTED
7778-50-9,POTASSIUM BICHROMATE,0,,REVIEW_NOT_TESTED
7778-74-7,POTASSIUM PERCHLORATE,0,,REVIEW_NOT_TESTED
7789-00-6,POTASSIUM CHROMATE,1,1.0,REVIEW_SUPPORTED
7791-10-8,STRONTIUM CHLORATE,1,1.0,REVIEW_SUPPORTED
87-90-1,"TRICHLORO-S-TRIAZINETRIONE, DRY",1,0.0,REVIEW_UNSUPPORTED
13410-01-0,SODIUM SELENATE,1,0.0,REVIEW_UNSUPPORTED
13769-43-2,POTASSIUM METAVANADATE,2,1.0,REVIEW_SUPPORTED
14019-91-1,CALCIUM SELENATE,0,,REVIEW_NOT_TESTED
7631-89-2,SODIUM ARSENATE,0,,REVIEW_NOT_TESTED
7778-44-1,CALCIUM ARSENATE,0,,REVIEW_NOT_TESTED
7784-37-4,MERCURIC ARSENATE,0,,REVIEW_NOT_TESTED
7784-44-3,AMMONIUM ARSENATE,1,0.0,REVIEW_UNSUPPORTED
7790-59-2,POTASSIUM SELENATE,0,,REVIEW_NOT_TESTED
7704-34-9,"SULFUR, MOLTEN",2,1.0,REVIEW_SUPPORTED
22397-33-7,"3,3,6,6,9,9-HEXAMETHYL-1,2,4,5-TETRAOXACYCLONONANE",0,,REVIEW_NOT_TESTED
65-30-5,"NICOTINE SULFATE, SOLID",3,0.6666666666666666,REVIEW_SUPPORTED
7784-46-5,"SODIUM ARSENITE, AQUEOUS SOLUTION",0,,REVIEW_NOT_TESTED
79-08-3,BROMOACETIC ACID,1,0.0,REVIEW_UNSUPPORTED
7789-61-9,ANTIMONY TRIBROMIDE,2,0.5,REVIEW_SUPPORTED
7789-69-7,PHOSPHORUS PENTABROMIDE,1,0.0,REVIEW_UNSUPPORTED
1333-39-7,"PHENOLSULFONIC ACID, LIQUID",0,,REVIEW_NOT_TESTED
1310-65-2,"LITHIUM HYDROXIDE, SOLUTION",2,0.5,REVIEW_SUPPORTED
1310-82-3,RUBIDIUM HYDROXIDE,0,,REVIEW_NOT_TESTED
21351-79-1,CESIUM HYDROXIDE,2,1.0,REVIEW_SUPPORTED
12031-80-0,LITHIUM PEROXIDE,2,1.0,REVIEW_SUPPORTED
1314-18-7,STRONTIUM PEROXIDE,2,1.0,REVIEW_SUPPORTED
7440-02-0,NICKEL,1,1.0,REVIEW_SUPPORTED
7440-21-3,"SILICON POWDER, AMORPHOUS",2,1.0,REVIEW_SUPPORTED
7429-90-5,"ALUMINUM POWDER, COATED",0,,REVIEW_NOT_TESTED
7439-89-6,"IRON, [POWDERED]",1,0.0,REVIEW_UNSUPPORTED
7440-36-0,ANTIMONY POWDER,0,,REVIEW_NOT_TESTED
7440-39-3,BARIUM,1,1.0,REVIEW_SUPPORTED
7440-45-1,"CERIUM, SLABS, INGOTS OR RODS",2,1.0,REVIEW_SUPPORTED
7440-48-4,COBALT,0,,REVIEW_NOT_TESTED
7440-65-5,YTTRIUM,1,0.0,REVIEW_UNSUPPORTED
7440-70-2,CALCIUM,2,1.0,REVIEW_SUPPORTED
7440-74-6,INDIUM,1,0.0,REVIEW_UNSUPPORTED
8049-17-0,FERROSILICON,2,1.0,REVIEW_SUPPORTED
1189-85-1,T-BUTYL CHROMATE,0,,REVIEW_NOT_TESTED
1309-60-0,LEAD DIOXIDE,1,0.0,REVIEW_UNSUPPORTED
1314-22-3,ZINC PEROXIDE,1,0.0,REVIEW_UNSUPPORTED
13450-97-0,STRONTIUM PERCHLORATE,1,1.0,REVIEW_SUPPORTED
13477-36-6,CALCIUM PERCHLORATE,1,0.0,REVIEW_UNSUPPORTED
13637-76-8,LEAD PERCHLORATE,0,,REVIEW_NOT_TESTED
13967-90-3,BARIUM BROMATE,2,1.0,REVIEW_SUPPORTED
14519-17-6,MAGNESIUM BROMATE,1,1.0,REVIEW_SUPPORTED
15541-45-4,"BROMATES, INORGANIC, N.O.S.",1,1.0,REVIEW_SUPPORTED
7446-08-4,SELENIUM DIOXIDE,1,0.0,REVIEW_UNSUPPORTED
7601-89-0,SODIUM PERCHLORATE,0,,REVIEW_NOT_TESTED
7727-21-1,POTASSIUM PERSULFATE,2,0.0,REVIEW_UNSUPPORTED
7758-01-2,POTASSIUM BROMATE,1,0.0,REVIEW_UNSUPPORTED
7775-27-1,SODIUM PERSULFATE,0,,REVIEW_NOT_TESTED
7787-36-2,BARIUM PERMANGANATE,0,,REVIEW_NOT_TESTED
7789-38-0,SODIUM BROMATE,0,,REVIEW_NOT_TESTED
14486-19-2,CADMIUM FLUOROBORATE,1,1.0,REVIEW_SUPPORTED
7681-38-1,"SODIUM BISULFATE, SOLID",1,1.0,REVIEW_SUPPORTED
7784-30-7,"ALUMINUM PHOSPHATE, SOLUTION",0,,REVIEW_NOT_TESTED
7440-58-6,"HAFNIUM POWDER, DRY",1,1.0,REVIEW_SUPPORTED
7440-67-7,ZIRCONIUM POWDER WET,0,,REVIEW_NOT_TESTED
15385-58-7,MERCUROUS BROMIDE,2,1.0,REVIEW_SUPPORTED
7789-47-1,MERCURIC BROMIDE,0,,REVIEW_NOT_TESTED
7439-96-5,MANGANESE,0,,REVIEW_NOT_TESTED
7439-98-7,MOLYBDENUM,0,,REVIEW_NOT_TESTED
7440-06-4,PLATINUM,1,0.0,REVIEW_UNSUPPORTED
7440-16-6,RHODIUM (METAL FUME),1,1.0,REVIEW_SUPPORTED
7440-22-4,SILVER,1,0.0,REVIEW_UNSUPPORTED
7440-31-5,TIN,2,0.0,REVIEW_UNSUPPORTED
7440-33-7,TUNGSTEN,2,1.0,REVIEW_SUPPORTED
10137-74-3,CALCIUM CHLORATE,1,1.0,REVIEW_SUPPORTED
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,2,0.0,REVIEW_UNSUPPORTED
1304-29-6,BARIUM PEROXIDE,1,1.0,REVIEW_SUPPORTED
1305-79-9,CALCIUM PEROXIDE,0,,REVIEW_NOT_TESTED
1317-35-7,MANGANESE TETROXIDE,0,,REVIEW_NOT_TESTED
13477-10-6,"BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE",2,0.5,REVIEW_SUPPORTED
14307-35-8,LITHIUM CHROMATE,0,,REVIEW_NOT_TESTED
14452-57-4,MAGNESIUM PEROXIDE,1,1.0,REVIEW_SUPPORTED
7758-19-2,SODIUM CHLORITE,0,,REVIEW_NOT_TESTED
7758-97-6,LEAD CHROMATE,0,,REVIEW_NOT_TESTED
7789-06-2,STRONTIUM CHROMATE,1,1.0,REVIEW_SUPPORTED
2782-57-2,"DICHLOROISOCYANURIC ACID, DRY",0,,REVIEW_NOT_TESTED
7727-54-0,AMMONIUM PERSULFATE,0,,REVIEW_NOT_TESTED
7789-09-5,AMMONIUM DICHROMATE,1,1.0,REVIEW_SUPPORTED
7790-98-9,AMMONIUM PERCHLORATE,1,1.0,REVIEW_SUPPORTED
7775-09-9,SODIUM CHLORATE,0,,REVIEW_NOT_TESTED
7783-66-6,IODINE PENTAFLUORIDE,2,1.0,REVIEW_SUPPORTED
7790-99-0,IODINE MONOCHLORIDE,1,1.0,REVIEW_SUPPORTED
7791-21-1,CHLORINE MONOXIDE,1,0.0,REVIEW_UNSUPPORTED
15699-18-0,NICKEL AMMONIUM SULFATE,1,0.0,REVIEW_UNSUPPORTED
7787-41-9,BARIUM SELENATE,1,0.0,REVIEW_UNSUPPORTED
21651-19-4,TIN(II) OXIDE,0,,REVIEW_NOT_TESTED
5470-11-1,HYDROXYLAMINE HYDROCHLORIDE,1,1.0,REVIEW_SUPPORTED
7772-99-8,"STANNOUS CHLORIDE, SOLID",1,1.0,REVIEW_SUPPORTED
7803-65-8,AMMONIUM HYPOPHOSPHITE,1,0.0,REVIEW_UNSUPPORTED
127-95-7,POTASSIUM HYDROGEN OXALATE,0,,REVIEW_NOT_TESTED
516-03-0,FERROUS OXALATE,1,0.0,REVIEW_UNSUPPORTED
62-76-0,SODIUM OXALATE,1,1.0,REVIEW_SUPPORTED
6487-48-5,POTASSIUM OXALATE MONOHYDRATE,0,,REVIEW_NOT_TESTED
7681-11-0,POTASSIUM IODIDE,0,,REVIEW_NOT_TESTED
