cas,chemical_name,wave,true_cameo_groups,original_selection_status,phase6_status,review134_status,final_decision,final_reason,in_A_426,in_B_259
103-75-3,ETHOXYDIHYDROPYRAN,,1;28;34,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (1, 28, 34)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은)",True,False
60-00-4,EDTA,,2;14,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 분석화학 / 킬레이트 적정(EDTA)),True,True
64-19-7,ACETIC ACID,,2;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 유기화학 / 에스테르화 반응),True,True
100-21-0,TEREPHTHALIC ACID,,2;35,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
104-01-8,4-METHOXYPHENYLACETIC ACID,,2;28,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
107-94-8,3-CHLOROPROPIONIC ACID,,2;31,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
107-97-1,SARCOSINE,,2;12,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
109-52-4,PENTANOIC ACID,,2,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
7647-01-0,HYDROCHLORIC ACID,,3;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 일반화학 / 산-염기 적정),True,True
7705-08-0,FERRIC CHLORIDE,,3;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 무기화학 / 착물합성/페놀검출),True,True
10025-91-9,ANTIMONY TRICHLORIDE,,3;32;50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
10026-06-9,"STANNIC CHLORIDE, PENTAHYDRATE",,3,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
10026-11-6,ZIRCONIUM TETRACHLORIDE,,3,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
10026-13-8,PHOSPHORUS PENTACHLORIDE,,3;32;50,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
1271-19-8,TITANOCENE DICHLORIDE,,3;35;49,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (3, 35, 49)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은)",True,False
7664-93-9,SULFURIC ACID,,4,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 일반화학 / 산-염기/탈수),True,True
7697-37-2,NITRIC ACID,,4,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 일반화학 / 산화반응),True,True
42615-29-2,PHENYLSULPHONIC ACID,,4,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
104-15-4,"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID",,4,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
1120-71-4,PROPANE SULTONE,,4;66,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
1333-39-7,"PHENOLSULFONIC ACID, LIQUID",,4,UNSUPPORTED,REVIEW,REVIEW_NOT_TESTED,REVIEW,"PHASE1~7 어느 평가셋에도 등장 안 함 — 근거 없음(불확실, REMOVE 아님)",True,False
27176-87-0,DODECYLBENZENESULFONIC ACID,,4,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.975(diagnostic, Wave1파생)",True,False
107-35-7,L-TAURINE,,5;14,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
10265-92-6,METHAMIDOPHOS,,5;27,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (5, 27)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sca)",True,False
124-38-9,CARBON DIOXIDE,,5;48,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
105-16-8,"DIETHYLAMINOETHYLMETHACRYLATE, [LIQUID]",,6;14;56,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
100-07-2,4-METHOXYBENZOYL CHLORIDE,,7,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
103-80-0,PHENYLACETYL CHLORIDE,,7,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal;water)",True,False
64-17-5,ETHANOL,,5;8;24;56,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 유기화학 / 재결정 용매),True,True
105-11-3,P-QUINONE DIOXIME,,8;14;34,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
105-59-9,METHYLDIETHANOLAMINE,,8;14,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9(diagnostic, Wave1파생)",True,False
106-24-1,GERANIOL,,8;34,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
100-51-6,BENZYL ALCOHOL,,8,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
10016-20-3,ALPHA-CYCLODEXTRIN,,8,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
102-71-6,TRIETHANOLAMINE,,8;14,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
100-73-2,"ACROLEIN DIMER, STABILIZED",,9;28;34;56,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (9, 28, 34, 56)은 유일하나 §10 실질근거 없음(자료없음뿐) — gr)",True,False
101-39-3,ALPHA-METHYLCINNAMALDEHYDE,,9;34;35,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (9, 34, 35)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은)",True,False
115-19-5,2-METHYL-2-HYDROXY-3-BUTYNE,,8;10,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
101-27-9,BARBAN,,11;16;20;31,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
57-13-6,UREA,,12;19;43;60,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 무기화학 / 완충/염기반응),True,True
101-20-2,TRICLOCARBAN,,12;13;16,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (12, 13, 16)은 유일하나 §10 실질근거 없음(자료없음뿐) — group)",True,False
100-01-6,"P-NITROANILINE, [SOLID]",,13;46,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal)",True,False
100-15-2,N-METHYL-4-NITROANILINE,,13;46,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.85(diagnostic, Wave1파생)",True,False
100-22-1,"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE",,14,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,False
108-24-7,ACETIC ANHYDRIDE,,15,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 유기화학 / 아세틸화 반응(발열주의)),True,True
106-31-0,BUTYRIC ANHYDRIDE,,15,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
100-00-5,P-NITROCHLOROBENZENE,,16;46,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (16, 46)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,False
101-05-3,ANILAZINE,,14;16,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (14, 16)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,False
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]",,17;46;68,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, 동일 true_groups=(17, 46, 68) 물질 3종 전부 §10 실질근거 없음 — 그중 1순위지만 )",True,False
1310-58-3,"POTASSIUM HYDROXIDE, SOLUTION",,18;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 일반화학 / 적정/전해질),True,True
1310-73-2,SODIUM HYDROXIDE SOLUTION,,18;39;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 일반화학 / 적정/비누화),True,True
12136-45-7,POTASSIUM MONOXIDE,,18,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;metal;water)",True,True
100-57-2,PHENYLMERCURIC HYDROXIDE,,18;49,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (18, 49)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 sc)",True,False
11138-49-1,"SODIUM ALUMINATE, SOLUTION",,18;68,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
12030-88-5,POTASSIUM SUPEROXIDE,,18;50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.8(diagnostic, Wave1파생)",True,False
12031-80-0,LITHIUM PEROXIDE,,18;50,UNSUPPORTED,REVIEW,REVIEW_SUPPORTED,KEEP_RETRIEVAL_DIAGNOSTIC,PHASE7 신규평가셋에서 자기청크 hit_rate>=0.5(diagnostic),True,False
1336-21-6,AMMONIUM HYDROXIDE,,19;68,KEEP_MANDATORY,,,KEEP,curriculum/evaluation 근거(커리큘럼 실사용 근거: 일반화학 / 착물형성/완충),True,True
12124-99-1,"AMMONIUM HYDROSULFIDE, SOLUTION",,18;19;63;68,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (18, 19, 63, 68)은 유일하나 §10 실질근거 없음(자료없음뿐) — g)",True,False
1305-62-0,CALCIUM HYDROXIDE,,19,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
1310-61-8,POTASSIUM HYDROSULFIDE,,19;63,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, water)",True,False
1313-82-2,"SODIUM SULFIDE, ANHYDROUS",,19;63;68,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
13983-17-0,WOLLASTONITE,,19;61;62,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
143-33-9,SODIUM CYANIDE,,19;24;68,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, metal;water)",True,False
7664-41-7,AMMONIA,,19;68,KEEP_EMPIRICAL,,,KEEP_EMPIRICAL,§10 실측 1순위 기본물질(Phase1),True,True
101-21-3,ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE,,16;20,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
506-87-6,AMMONIUM CARBONATE,,21;60,REVIEW,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,True
1066-33-7,AMMONIUM BICARBONATE,,21;61,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
1317-65-3,LIMESTONE,,21,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
144-55-8,SODIUM BICARBONATE,,21,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.9286(diagnostic, Wave1파생)",True,False
15630-89-4,SODIUM PERCARBONATE,,21;50;61,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
3486-35-9,ZINC CARBONATE,,21,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
471-34-1,CALCIUM CARBONATE,,21,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.8545(diagnostic, Wave1파생)",True,False
1558-25-4,TRICHLORO(CHLOROMETHYL)SILANE,,22;31,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
110-16-7,MALEIC ACID,,2;23;34,KEEP_COVERAGE,,,KEEP_COVERAGE,그룹 내 대표물질 희소(<=2종) — Phase1,True,True
1335-31-5,MERCURIC OXYCYANIDE,,24,UNSUPPORTED,,,REVIEW,"Phase3 REVIEW(근거 빈약, true_groups 조합 (24,)은 유일하나 §10 실질근거 없음(자료없음뿐) — group은 scarc)",True,False
101-90-6,DIGLYCIDYL RESORCINOL ETHER,,26;28;35,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
105-79-3,ISOBUTYL CAPROATE,,27,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.98(diagnostic, Wave1파생)",True,False
10031-87-5,2-ETHYLBUTYL ACETATE,,27,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
102-16-9,BENZYL PHENYLACETATE,,27,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=1.0(diagnostic, Wave1파생)",True,False
103-09-3,ETHYLHEXYL ACETATE,,27,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,"426 자기청크 hit_rate@10=0.96(diagnostic, Wave1파생)",True,False
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,,27,UNSUPPORTED,,,KEEP_EMPIRICAL,"자기 §10 실질근거(Phase3, combustible_reducing;water)",True,False
