query_id,cas_a,cas_b,gold_risk_pair_recorded,gold_risk_pair_recomputed,verdict_drift,n_gold_chunks,sections_covered,issues,status
indepv2::115-19-5::11138-49-1,115-19-5,11138-49-1,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::101-27-9::111-54-6,101-27-9,111-54-6,Caution,Caution,False,4,2;10,,CLEAN
indepv2::101-21-3::7440-23-5,101-21-3,7440-23-5,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::1558-25-4::7732-18-5,1558-25-4,7732-18-5,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::110-16-7::112-02-7,110-16-7,112-02-7,Caution,Caution,False,4,2;10,,CLEAN
indepv2::121-17-5::7439-92-1,121-17-5,7439-92-1,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7440-41-7::1643-20-5,7440-41-7,1643-20-5,Incompatible,Incompatible,False,5,2;10,,CLEAN
indepv2::101-68-8::7440-38-2,101-68-8,7440-38-2,Caution,Caution,False,5,2;10,,CLEAN
indepv2::12057-74-8::1271-28-9,12057-74-8,1271-28-9,Caution,Caution,False,4,2;10,,CLEAN
indepv2::124-38-9::108-88-3,124-38-9,108-88-3,Compatible,Compatible,False,5,2;10,,CLEAN
indepv2::100-64-1::1191-80-6,100-64-1,1191-80-6,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::112-02-7::13967-90-3,112-02-7,13967-90-3,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::1344-00-9::109-59-1,1344-00-9,109-59-1,Compatible,Compatible,False,4,2;10,,CLEAN
indepv2::7440-06-4::7783-47-3,7440-06-4,7783-47-3,Caution,Caution,False,4,2;10,,CLEAN
indepv2::7790-99-0::109-59-1,7790-99-0,109-59-1,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::7789-00-6::7664-41-7,7789-00-6,7664-41-7,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13967-90-3::12002-43-6,13967-90-3,12002-43-6,Incompatible,Incompatible,False,4,2;10,,CLEAN
indepv2::13765-19-0::7783-47-3,13765-19-0,7783-47-3,Incompatible,Incompatible,False,4,2;10,,CLEAN
