cas,chemical_name,true_cameo_groups,original_selection_status,phase6_status,review134_status,final_decision,dependency_class,dependency_reason
103-75-3,ETHOXYDIHYDROPYRAN,1;28;34,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
60-00-4,EDTA,2;14,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
64-19-7,ACETIC ACID,2;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
100-21-0,TEREPHTHALIC ACID,2;35,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
104-01-8,4-METHOXYPHENYLACETIC ACID,2;28,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
107-94-8,3-CHLOROPROPIONIC ACID,2;31,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
107-97-1,SARCOSINE,2;12,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
109-52-4,PENTANOIC ACID,2,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
7647-01-0,HYDROCHLORIC ACID,3;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7705-08-0,FERRIC CHLORIDE,3;68,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
10025-91-9,ANTIMONY TRICHLORIDE,3;32;50,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
10026-06-9,"STANNIC CHLORIDE, PENTAHYDRATE",3,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10026-11-6,ZIRCONIUM TETRACHLORIDE,3,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
10026-13-8,PHOSPHORUS PENTACHLORIDE,3;32;50,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1271-19-8,TITANOCENE DICHLORIDE,3;35;49,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
7664-93-9,SULFURIC ACID,4,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
7697-37-2,NITRIC ACID,4,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
42615-29-2,PHENYLSULPHONIC ACID,4,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
104-15-4,"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID",4,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
1120-71-4,PROPANE SULTONE,4;66,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
1333-39-7,"PHENOLSULFONIC ACID, LIQUID",4,UNSUPPORTED,REVIEW,REVIEW_NOT_TESTED,REVIEW,B_representative_substitutable,대표물질 7664-93-9로 매트릭스상 대체 가능 | PHASE7 재평가: REVIEW_NOT_TESTED(hit_rate=)
27176-87-0,DODECYLBENZENESULFONIC ACID,4,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.975(diagnostic) — 대체물질로 못 메움
107-35-7,L-TAURINE,5;14,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
10265-92-6,METHAMIDOPHOS,5;27,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
124-38-9,CARBON DIOXIDE,5;48,KEEP_COVERAGE,,,KEEP_COVERAGE,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
105-16-8,"DIETHYLAMINOETHYLMETHACRYLATE, [LIQUID]",6;14;56,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
100-07-2,4-METHOXYBENZOYL CHLORIDE,7,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
103-80-0,PHENYLACETYL CHLORIDE,7,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
64-17-5,ETHANOL,5;8;24;56,KEEP_MANDATORY,,,KEEP,A_unique_dependency,curriculum/coverage 근거 — 대체 불가
105-11-3,P-QUINONE DIOXIME,8;14;34,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
105-59-9,METHYLDIETHANOLAMINE,8;14,REVIEW,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=0.9(diagnostic) — 대체물질로 못 메움
106-24-1,GERANIOL,8;34,REVIEW,,,KEEP_EMPIRICAL,D_not_observed,원 후보가 KOSHA 미등록이라 같은 그룹 내 다음 후보로 자동 대체
100-51-6,BENZYL ALCOHOL,8,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
10016-20-3,ALPHA-CYCLODEXTRIN,8,UNSUPPORTED,RETAIN_RETRIEVAL,,KEEP_RETRIEVAL_DIAGNOSTIC,A_unique_dependency,426 자기청크 hit_rate@10=1.0(diagnostic) — 대체물질로 못 메움
102-71-6,TRIETHANOLAMINE,8;14,UNSUPPORTED,,,KEEP_EMPIRICAL,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
100-73-2,"ACROLEIN DIMER, STABILIZED",9;28;34;56,UNSUPPORTED,,,REVIEW,D_not_observed,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음)
