group_id,group_name,current_true_member_count,candidate_cas,candidate_name,kosha_status,note
10,"Alkynes, with Acetylenic Hydrogen",1,2312-35-8,PROPARGITE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
10,"Alkynes, with Acetylenic Hydrogen",1,23950-58-5,"3,5-DICHLORO-N-(1,1-DIMETHYL-2-PROPYNYL)BENZAMIDE",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
10,"Alkynes, with Acetylenic Hydrogen",1,57-63-6,ETHINYLESTRADIOL,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
10,"Alkynes, with Acetylenic Hydrogen",1,59355-75-8,"METHYLACETYLENE AND PROPADIENE MIXTURE, STABILIZED",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
11,"Alkynes, with No Acetylenic Hydrogen",1,1068-27-5,"2,5-DIMETHYL-2,5-BIS(TERT-BUTYLPEROXY)-3-HEXYNE",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
11,"Alkynes, with No Acetylenic Hydrogen",1,2216-94-6,ETHYL PHENYLPROPIOLATE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
11,"Alkynes, with No Acetylenic Hydrogen",1,309-36-4,SODIUM METHOHEXITAL,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
11,"Alkynes, with No Acetylenic Hydrogen",1,55406-53-6,3-IODO-2-PROPYNYL BUTYLCARBAMATE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
20,Carbamates,2,105-40-8,"N-METHYLCARBAMIC ACID, ETHYL ESTER",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
20,Carbamates,2,10605-21-7,CARBENDAZIM,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
20,Carbamates,2,1111-78-0,AMMONIUM CARBAMATE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
20,Carbamates,2,1129-41-5,METOLCARB,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
20,Carbamates,2,114-26-1,PROPOXUR,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
22,Chlorosilanes,1,10137-69-6,CYCLOHEXENYLTRICHLOROSILANE,abstain_not_found,coverage gap: 그룹 내 대표물질 2종 이하
22,Chlorosilanes,1,1125-27-5,ETHYLPHENYLDICHLOROSILANE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
22,Chlorosilanes,1,26571-79-9,CHLOROPHENYLTRICHLOROSILANE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
22,Chlorosilanes,1,27137-85-5,DICHLOROPHENYLTRICHLOROSILANE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
22,Chlorosilanes,1,5894-60-0,HEXADECYLTRICHLOROSILANE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
23,Conjugated Dienes,1,110-44-1,SORBIC ACID,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
23,Conjugated Dienes,1,11103-57-4,VITAMIN A,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
23,Conjugated Dienes,1,123-35-3,"MYRCENE, [LIQUID]",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
23,Conjugated Dienes,1,129-17-9,SULFAN BLUE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
23,Conjugated Dienes,1,1406-16-2,VITAMIN D3 EMULSIFIABLE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
25,Diazonium Salts,0,135072-82-1,4-DIMETHYLAMINO-6-(2-DIMETHYLAMINOETHOXY)TOLUENE-2-DIAZONIUM ZINC CHLORIDE,abstain_not_found,coverage gap: 그룹 내 대표물질 2종 이하
25,Diazonium Salts,0,15005-97-7,3-(2-HYDROXYETHOXY)-4-PYRROLIDIN-1-YL BENZENEDIAZONIUM ZINC CHLORIDE,abstain_not_found,coverage gap: 그룹 내 대표물질 2종 이하
25,Diazonium Salts,0,15557-00-3,3-CHLORO-4-DIETHYLAMINOBENZENEDIAZONIUM ZINC CHLORIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
25,Diazonium Salts,0,21723-86-4,4-[BENZYL(ETHYL)AMINO]-3-ETHOXYBENZENEDIAZONIUM ZINC CHLORIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
25,Diazonium Salts,0,4421-50-5,4-[BENZYL(METHYL)AMINO]-3-ETHOXYBENZENEDIAZONIUM ZINC CHLORIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
30,Fluorinated Organic Compounds,1,111512-56-2,"1,1-DICHLORO-1,2,3,3,3-PENTAFLUOROPROPANE",abstain_not_found,coverage gap: 그룹 내 대표물질 2종 이하
30,Fluorinated Organic Compounds,1,1172-18-5,FLURAZEPAM DIHYDROCHLORIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
30,Fluorinated Organic Compounds,1,127564-92-5,DICHLOROPENTAFLUOROPROPANE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
30,Fluorinated Organic Compounds,1,128903-21-9,"2,2-DICHLORO-1,1,1,3,3-PENTAFLUOROPROPANE",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
30,Fluorinated Organic Compounds,1,13098-39-0,HEXAFLUOROACETONE SESQUIHYDRATE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
36,Insufficient Information for Classification,1,11099-03-9,C.I. SOLVENT BLACK 5,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
36,Insufficient Information for Classification,1,8005-02-5,C.I. SOLVENT BLACK 7,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
36,Insufficient Information for Classification,1,8016-38-4,ORANGE FLOWER WATER,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
37,Isocyanates and Isothiocyanates,2,102-36-3,"ISOCYANIC ACID, 3,4-DICHLOROPHENYL ESTER",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
37,Isocyanates and Isothiocyanates,2,10347-54-3,"1,4-BIS(METHYLISOCYANATE)CYCLOHEXANE",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
37,Isocyanates and Isothiocyanates,2,104-12-1,P-CHLOROPHENYL ISOCYANATE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
37,Isocyanates and Isothiocyanates,2,104-49-4,"1,4-PHENYLENE DIISOCYANATE",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
37,Isocyanates and Isothiocyanates,2,110-78-1,N-PROPYL ISOCYANATE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
44,"Nitrides, Phosphides, Carbides, and Silicides",1,12058-85-4,SODIUM PHOSPHIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
44,"Nitrides, Phosphides, Carbides, and Silicides",1,12737-18-7,CALCIUM SILICIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
44,"Nitrides, Phosphides, Carbides, and Silicides",1,1299-86-1,ALUMINUM CARBIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
44,"Nitrides, Phosphides, Carbides, and Silicides",1,1303-00-0,GALLIUM ARSENIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
44,"Nitrides, Phosphides, Carbides, and Silicides",1,1305-99-3,CALCIUM PHOSPHIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
48,Not Chemically Reactive agents,2,12001-29-5,"ASBESTOS, WHITE",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
48,Not Chemically Reactive agents,2,39300-88-4,TARA GUM,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
48,Not Chemically Reactive agents,2,67774-32-7,POLYBROMINATED BIPHENYL,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
48,Not Chemically Reactive agents,2,7439-90-9,KRYPTON,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
48,Not Chemically Reactive agents,2,7440-01-9,NEON,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
52,Oximes,1,107-29-9,ACETALDEHYDE OXIME,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
52,Oximes,1,110-69-0,BUTYRALDOXIME,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
52,Oximes,1,116-06-3,ALDICARB,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
52,Oximes,1,127-69-5,SULFISOXAZOLE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
52,Oximes,1,15271-41-7,"BICYCLO[2.2.1]HEPTANE-2-CARBONITRILE, 5-CHLORO-6-[[[(METHYLAMINO)CABONYL]OXY]IMINO]-, [1S-(1ALPHA,2BETA,4ALPHA,5ALPHA,6E)]-",not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
57,Quaternary Ammonium and Phosphonium Salts,2,121-54-0,BENZETHONIUM CHLORIDE,not_attempted,coverage gap: 그룹 내 대표물질 2종 이하
