cas_number,chemical_name,group_id,group_name,source,course,experiment
100-00-5,P-NITROCHLOROBENZENE,16,Aryl Halides,pool_supplement,,
100-01-6,"P-NITROANILINE, [SOLID]",13,"Amines, Aromatic",pool_supplement,,
100-02-7,4-NITROPHENOL,46,"Nitro, Nitroso, Nitrate, and Nitrite Compounds, Organic",pool_supplement,,
100-14-1,"BENZENE, 1-(CHLOROMETHYL)-4-NITRO-",31,Halogenated Organic Compounds,pool_supplement,,
100-16-3,"4-NITROPHENYLHYDRAZINE, [WETTED WITH NOT LESS THAN 30% WATER BY MASS]",17,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds",pool_supplement,,
100-21-0,TEREPHTHALIC ACID,2,"Acids, Carboxylic",pool_supplement,,
100-22-1,"N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE",14,"Amines, Phosphines, and Pyridines",pool_supplement,,
100-51-6,BENZYL ALCOHOL,8,Alcohols and Polyols,pool_supplement,,
100-57-2,PHENYLMERCURIC HYDROXIDE,18,"Bases, Strong",pool_supplement,,
100-64-1,CYCLOHEXANONE OXIME,52,Oximes,pool_supplement,,
100-73-2,"ACROLEIN DIMER, STABILIZED",9,Aldehydes,pool_supplement,,
10026-06-9,"STANNIC CHLORIDE, PENTAHYDRATE",3,"Acids, Strong Non-oxidizing",pool_supplement,,
10026-13-8,PHOSPHORUS PENTACHLORIDE,3,"Acids, Strong Non-oxidizing",pool_supplement,,
10026-17-2,COBALT FLUORIDE,59,"Reducing Agents, Weak",pool_supplement,,
10031-13-7,LEAD(II) ARSENITE,61,"Salts, Basic",pool_supplement,,
10039-54-0,HYDROXYLAMINE SULFATE,58,"Reducing Agents, Strong",pool_supplement,,
10049-05-5,CHROMOUS CHLORIDE,58,"Reducing Agents, Strong",reaction_frequency_high,,
10099-74-8,LEAD NITRATE,43,"Nitrate and Nitrite Compounds, Inorganic",curated_curriculum,분석화학,침전실험
101-05-3,ANILAZINE,16,Aryl Halides,pool_supplement,,
101-18-8,3-HYDROXY-N-PHENYLANILINE,55,Phenols and Cresols,pool_supplement,,
101-20-2,TRICLOCARBAN,12,Amides and Imides,pool_supplement,,
101-21-3,ISOPROPYL-N-(3-CHLOROPHENYL)CARBAMATE,20,Carbamates,pool_supplement,,
101-27-9,BARBAN,11,"Alkynes, with No Acetylenic Hydrogen",pool_supplement,,
101-39-3,ALPHA-METHYLCINNAMALDEHYDE,9,Aldehydes,pool_supplement,,
101-68-8,"DIPHENYLMETHANE-4,4&#39;-DIISOCYANATE",37,Isocyanates and Isothiocyanates,pool_supplement,,
101-80-4,"4,4&#39;-DIAMINODIPHENYL ETHER",28,Ethers,pool_supplement,,
101-90-6,DIGLYCIDYL RESORCINOL ETHER,26,Epoxides,pool_supplement,,
10112-91-1,MERCUROUS CHLORIDE,42,"Metals, Less Reactive agents",pool_supplement,,
10169-02-5,C.I. ACID RED 97,55,Phenols and Cresols,pool_supplement,,
10192-30-0,"AMMONIUM BISULFITE, SOLID",65,Sulfite and Thiosulfate Salts,pool_supplement,,
10196-04-0,AMMONIUM SULFITE,65,Sulfite and Thiosulfate Salts,pool_supplement,,
102-01-2,ACETOACETANILIDE,38,Ketones,pool_supplement,,
102-08-9,THIOCARBANILIDE,35,"Hydrocarbons, Aromatic",pool_supplement,,
102-36-3,"ISOCYANIC ACID, 3,4-DICHLOROPHENYL ESTER",,,phase4_add_confirmed,,
102-54-5,FERROCENE,35,"Hydrocarbons, Aromatic",pool_supplement,,
102-67-0,TRIPROPYLALUMINUM,39,"Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes",pool_supplement,,
102-71-6,TRIETHANOLAMINE,8,Alcohols and Polyols,pool_topup,,
10222-01-2,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",31,Halogenated Organic Compounds,pool_supplement,,
1024-57-3,HEPTACHLOR EPOXIDE,31,Halogenated Organic Compounds,pool_supplement,,
10241-05-1,MOLYBDENUM PENTACHLORIDE,32,Halogenating Agents,pool_supplement,,
1025-15-6,TRIALLYL ISOCYANURATE,34,"Hydrocarbons, Aliphatic Unsaturated",pool_supplement,,
10265-92-6,METHAMIDOPHOS,5,"Acids, Weak",pool_supplement,,
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,27,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pool_supplement,,
103-50-4,DIBENZYL ETHER,28,Ethers,pool_supplement,,
103-75-3,ETHOXYDIHYDROPYRAN,1,"Acetals, Ketals, Hemiacetals, and Hemiketals",pool_supplement,,
