cas,chemical_name,category_before,decision_before,category_after,decision_after
100-21-0,TEREPHTHALIC ACID,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
104-01-8,4-METHOXYPHENYLACETIC ACID,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
107-94-8,3-CHLOROPROPIONIC ACID,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
107-97-1,SARCOSINE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
42615-29-2,PHENYLSULPHONIC ACID,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1333-39-7,"PHENOLSULFONIC ACID, LIQUID",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
107-35-7,L-TAURINE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
105-16-8,"DIETHYLAMINOETHYLMETHACRYLATE, [LIQUID]",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
105-11-3,P-QUINONE DIOXIME,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
105-59-9,METHYLDIETHANOLAMINE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
106-24-1,GERANIOL,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
100-51-6,BENZYL ALCOHOL,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
10016-20-3,ALPHA-CYCLODEXTRIN,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
102-71-6,TRIETHANOLAMINE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
11138-49-1,"SODIUM ALUMINATE, SOLUTION",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1305-62-0,CALCIUM HYDROXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
13983-17-0,WOLLASTONITE,HAZARD-RELEVANT,유지 권고,REPRESENTATIVE,유지 권고
506-87-6,AMMONIUM CARBONATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
1066-33-7,AMMONIUM BICARBONATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
1317-65-3,LIMESTONE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
144-55-8,SODIUM BICARBONATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
15630-89-4,SODIUM PERCARBONATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
471-34-1,CALCIUM CARBONATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1558-25-4,TRICHLORO(CHLOROMETHYL)SILANE,HAZARD-RELEVANT,유지 권고,REPRESENTATIVE,유지 권고
110-16-7,MALEIC ACID,HAZARD-RELEVANT,유지 권고,REPRESENTATIVE,유지 권고
101-90-6,DIGLYCIDYL RESORCINOL ETHER,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
105-79-3,ISOBUTYL CAPROATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
103-23-1,BIS(2-ETHYLHEXYL) ADIPATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
118-52-5,"1,3-DICHLORO-5,5-DIMETHYLHYDANTOIN",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
112-95-8,N-EICOSANE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
12002-43-6,GILSONITE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
123-01-3,DODECYLBENZENE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
151-21-3,"DODECYL SULFATE, [SODIUM SALT]",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1025-15-6,TRIALLYL ISOCYANURATE,HAZARD-RELEVANT,유지 권고,REPRESENTATIVE,유지 권고
104-72-3,N-DECYLBENZENE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
104-88-1,4-CHLOROBENZALDEHYDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
114-49-8,SCOPOLAMINE HYDROBROMIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
119-53-9,BENZOIN,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
102-01-2,ACETOACETANILIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
10034-81-8,MAGNESIUM PERCHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
10101-50-5,SODIUM PERMANGANATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
10118-76-0,CALCIUM PERMANGANATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7782-44-7,OXYGEN,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
132259-10-0,"AIR, COMPRESSED",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
100-64-1,CYCLOHEXANONE OXIME,HAZARD-RELEVANT,유지 권고,REPRESENTATIVE,유지 권고
105-64-6,DIISOPROPYL PEROXYDICARBONATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
105-74-8,LAUROYL PEROXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
101-18-8,3-HYDROXY-N-PHENYLANILINE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
105-60-2,CAPROLACTAM,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
1344-00-9,SODIUM ALUMINOSILICATE,HAZARD-RELEVANT,유지 권고,REPRESENTATIVE,유지 권고
1185-81-5,DIBUTYLTIN-BIS(LAURYL MERCAPTIDE),HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
10196-04-0,AMMONIUM SULFITE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
1071-83-6,GLYPHOSATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
10043-01-3,"ALUMINUM SULFATE, SOLID",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7440-47-3,CHROMIUM,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7439-92-1,LEAD,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7440-22-4,SILVER,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7440-31-5,TIN,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
7647-10-1,PALLADIUM CHLORIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,근거 부족/검토
10137-74-3,CALCIUM CHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
11084-85-8,CHLORINATED TRISODIUM PHOSPHATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1189-85-1,T-BUTYL CHROMATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1304-29-6,BARIUM PEROXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1305-79-9,CALCIUM PEROXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1309-60-0,LEAD DIOXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
1317-35-7,MANGANESE TETROXIDE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
13446-10-1,AMMONIUM PERMANGANATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
13450-97-0,STRONTIUM PERCHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
13477-10-6,"BARIUM HYPOCHLORITE, WITH MORE THAN 22% AVAILABLE CHLORINE",HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
13477-36-6,CALCIUM PERCHLORATE,HAZARD-RELEVANT,유지 권고,UNJUSTIFIED,중복 검토(REMOVE/MERGE 후보)
