cas_number,chemical_name,wave,original_candidate_source,selection_source,selection_reason,selection_evidence,csv_assigned_group_id,true_cameo_groups,risk_relation,section10_categories,coverage_role,pubchem_verified,safety_flag,in_eval_testset,collection_status,selection_status
103-75-3,ETHOXYDIHYDROPYRAN,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::103-75-3::106-87-6::t0;gold_pair.jsonl:pair::103-75-3::106-87-6::t1;gold_pair.jsonl:pair::103-75-3::106-87-6::t2,1,1;28;34,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
60-00-4,EDTA,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 분석화학 / 킬레이트 적정(EDTA),01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::108-24-7::60-00-4::t0;gold_pair.jsonl:pair::108-24-7::60-00-4::t1;gold_pair.jsonl:pair::108-24-7::60-00-4::t2,2,2;14,,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
64-19-7,ACETIC ACID,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 유기화학 / 에스테르화 반응,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::1762-95-4::64-19-7::t0;gold_pair.jsonl:pair::1762-95-4::64-19-7::t1;gold_pair.jsonl:pair::1762-95-4::64-19-7::t2,2,2;68,water,no_data,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
100-21-0,TEREPHTHALIC ACID,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::100-21-0::1024-57-3::t0;gold_pair.jsonl:pair::100-21-0::1024-57-3::t1;gold_pair.jsonl:pair::100-21-0::1024-57-3::t2,2,2;35,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
104-01-8,4-METHOXYPHENYLACETIC ACID,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::103-80-0::104-01-8::t0;gold_pair.jsonl:pair::103-80-0::104-01-8::t1;gold_pair.jsonl:pair::103-80-0::104-01-8::t2,2,2;28,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
107-94-8,3-CHLOROPROPIONIC ACID,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::107-94-8::115-86-6::t0;gold_pair.jsonl:pair::107-94-8::115-86-6::t1;gold_pair.jsonl:pair::107-94-8::115-86-6::t2,2,2;31,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
107-97-1,SARCOSINE,wave1,pool_supplement,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10099-74-8::107-97-1::t0;gold_pair.jsonl:pair::10099-74-8::107-97-1::t1;gold_pair.jsonl:pair::10099-74-8::107-97-1::t2,2,2;12,,combustible_reducing;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
109-52-4,PENTANOIC ACID,wave1,pool_topup,wave1_topup,UNKNOWN(그룹 슬롯 자동 보충 — 물질 단위 개별 선정 근거 없음),01_collection/build_undergrad_target_list.py GROUP_TIER/TIER_SLOTS(근거 미기록) | evaluation_data:gold_pair.jsonl:pair::10192-30-0::109-52-4::t0;gold_pair.jsonl:pair::10192-30-0::109-52-4::t1;gold_pair.jsonl:pair::10192-30-0::109-52-4::t2,2,2,,combustible_reducing;metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,UNSUPPORTED
7647-01-0,HYDROCHLORIC ACID,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 일반화학 / 산-염기 적정,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::143-33-9::7647-01-0::t0;gold_pair.jsonl:pair::143-33-9::7647-01-0::t1;gold_pair.jsonl:pair::143-33-9::7647-01-0::t2,3,3;68,water,water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
7705-08-0,FERRIC CHLORIDE,wave1,curated_curriculum,curriculum,커리큘럼 실사용 근거: 무기화학 / 착물합성/페놀검출,01_collection/build_undergrad_target_list.py CURATED_LIST | evaluation_data:gold_pair.jsonl:pair::105-79-3::7705-08-0::t0;gold_pair.jsonl:pair::105-79-3::7705-08-0::t1;gold_pair.jsonl:pair::105-79-3::7705-08-0::t2,3,3;68,water,metal;water,,MATCH,NOT_CHECKED,True,COLLECTED,KEEP_MANDATORY
