cas_number,name_ko
106-89-8,에피클로로하이드린
107-21-1,에틸렌글라이콜
109-99-9,테트라하이드로퓨란
1309-37-1,삼산화이철
1330-20-7,자일렌
141-78-6,아세트산에틸
20859-73-8,인화알루미늄
302-01-2,하이드라진
547-58-0,메틸오렌지
62-53-3,아닐린
630-08-0,일산화탄소
67-56-1,메탄올
67-63-0,아이소프로필알코올
68-12-2,"N,N-다이메틸폼아마이드"
69-72-7,살리실산
71-43-2,벤젠
74-82-8,메탄
74-85-1,에틸렌
74-86-2,아세틸렌
74-98-6,프로페인
7439-90-9,크립톤
7439-97-6,수은
7440-01-9,네온
7440-44-0,탄소
75-05-8,아세토나이트릴
75-09-2,다이클로로메테인
75-78-5,다이메틸다이클로로실란
7601-90-3,과염소산
7646-69-7,수소화나트륨
7664-38-2,인산
7664-39-3,불화수소
77-09-8,페놀프탈레인
7723-14-0,인
7726-95-6,브로민
7782-41-4,불소
7782-50-5,염소
78-93-3,메틸에틸케톤
98-88-4,벤조일 클로라이드
98-95-3,나이트로벤젠
