cas_number,name_ko,name_en,formula,aliases,course,experiment
60-00-4,에틸렌다이아민테트라아세트산,EDTA,C10H16N2O8,EDTA 에데트산 에틸렌디아민테트라아세트산,분석화학,킬레이트 적정
7705-08-0,염화철(III),Iron(III) chloride,FeCl3,염화제이철 염화철,무기화학,착물합성/페놀 정색반응
57-13-6,요소,Urea,CH4N2O,우레아,무기화학,완충/염기반응
108-24-7,무수아세트산,Acetic anhydride,C4H6O3,아세트산무수물 무수초산,유기화학,아세틸화 반응
1336-21-6,수산화암모늄,Ammonium hydroxide,NH4OH,암모니아수,일반화학,착물형성/완충
10099-74-8,질산납(II),Lead(II) nitrate,Pb(NO3)2,질산연,분석화학,침전 반응
10361-37-2,염화바륨,Barium chloride,BaCl2,,분석화학,황산염 침전정량
7447-40-7,염화칼륨,Potassium chloride,KCl,,물리화학,전도도/전기화학 셀
1762-95-4,싸이오사이안산암모늄,Ammonium thiocyanate,NH4SCN,티오시안산암모늄 로단암모늄,무기화학,착물 색반응
7786-81-4,황산니켈(II),Nickel(II) sulfate,NiSO4,황산니켈,무기화학,착물합성
7772-98-7,싸이오황산나트륨,Sodium thiosulfate,Na2S2O3,티오황산나트륨 하이포,분석화학,아이오딘 적정 환원제
7681-11-0,아이오딘화칼륨,Potassium iodide,KI,요오드화칼륨,분석화학,아이오딘 적정
62-76-0,옥살산나트륨,Sodium oxalate,Na2C2O4,수산나트륨,분석화학,과망가니즈산 적정 표준물질
7789-00-6,크로뮴산칼륨,Potassium chromate,K2CrO4,크롬산칼륨,분석화학,Mohr법 침전적정 지시약
540-72-7,싸이오사이안산나트륨,Sodium thiocyanate,NaSCN,티오시안산나트륨 로단나트륨,분석화학,Volhard법 역적정
471-34-1,탄산칼슘,Calcium carbonate,CaCO3,방해석,일반화학,기체 발생/산-염기 반응
144-55-8,탄산수소나트륨,Sodium bicarbonate,NaHCO3,중탄산나트륨 베이킹소다,일반화학,완충용액/중화 반응
3811-04-9,염소산칼륨,Potassium chlorate,KClO3,,일반화학,산소 발생 반응
100-51-6,벤질알코올,Benzyl alcohol,C7H8O,벤질알콜,유기화학,알코올 산화 반응
102-54-5,페로센,Ferrocene,C10H10Fe,,무기화학,유기금속 화합물 합성
