cas_number,name_ko,name_en,formula,aliases
7732-18-5,물,Water,H2O,증류수
7647-01-0,염화수소,Hydrogen chloride,HCl,염산 hydrochloric acid
7664-93-9,황산,Sulfuric acid,H2SO4,
7697-37-2,질산,Nitric acid,HNO3,
7664-39-3,불화수소,Hydrogen fluoride,HF,불산
1310-73-2,수산화나트륨,Sodium hydroxide,NaOH,가성소다
1310-58-3,수산화칼륨,Potassium hydroxide,KOH,가성가리
7664-41-7,암모니아,Ammonia,NH3,
7722-84-1,과산화수소,Hydrogen peroxide,H2O2,
67-56-1,메탄올,Methanol,CH3OH,메틸알코올
64-17-5,에탄올,Ethanol,C2H5OH,에틸알코올
67-64-1,아세톤,Acetone,CH3COCH3,
71-43-2,벤젠,Benzene,C6H6,
108-88-3,톨루엔,Toluene,C6H5CH3,
74-82-8,메탄,Methane,CH4,
630-08-0,일산화탄소,Carbon monoxide,CO,
124-38-9,이산화탄소,Carbon dioxide,CO2,
7782-50-5,염소,Chlorine,Cl2,
7440-59-7,헬륨,Helium,He,
7440-37-1,아르곤,Argon,Ar,
1333-74-0,수소,Hydrogen,H2,
7782-44-7,산소,Oxygen,O2,
7727-37-9,질소,Nitrogen,N2,
7664-38-2,인산,Phosphoric acid,H3PO4,오르토인산
67-63-0,아이소프로필알코올,Isopropyl alcohol,C3H8O,IPA 이소프로판올
141-78-6,아세트산에틸,Ethyl acetate,C4H8O2,초산에틸 에틸아세테이트
75-09-2,다이클로로메테인,Dichloromethane,CH2Cl2,염화메틸렌 디클로로메탄 MC
75-05-8,아세토나이트릴,Acetonitrile,C2H3N,아세토니트릴 메틸시안
109-99-9,테트라하이드로퓨란,Tetrahydrofuran,C4H8O,THF 테트라히드로푸란
68-12-2,"N,N-다이메틸폼아마이드","N,N-Dimethylformamide",C3H7NO,DMF 디메틸포름아미드
7601-90-3,과염소산,Perchloric acid,HClO4,
