cas_number,name_ko,name_en,symbol
1333-74-0,수소,Hydrogen,H
7440-59-7,헬륨,Helium,He
7439-93-2,리튬,Lithium,Li
7440-41-7,베릴륨,Beryllium,Be
7440-42-8,붕소,Boron,B
7440-44-0,탄소,Carbon,C
7727-37-9,질소,Nitrogen,N
7782-44-7,산소,Oxygen,O
7782-41-4,불소,Fluorine,F
7440-01-9,네온,Neon,Ne
7440-23-5,나트륨,Sodium,Na
7439-95-4,마그네슘,Magnesium,Mg
7429-90-5,알루미늄,Aluminium,Al
7440-21-3,규소,Silicon,Si
7723-14-0,인,Phosphorus,P
7704-34-9,황,Sulfur,S
7782-50-5,염소,Chlorine,Cl
7440-37-1,아르곤,Argon,Ar
7440-09-7,칼륨,Potassium,K
7440-70-2,칼슘,Calcium,Ca
7440-20-2,스칸듐,Scandium,Sc
7440-32-6,티타늄,Titanium,Ti
7440-62-2,바나듐,Vanadium,V
7440-47-3,크로뮴,Chromium,Cr
7439-96-5,망가니즈,Manganese,Mn
7439-89-6,철,Iron,Fe
7440-48-4,코발트,Cobalt,Co
7440-02-0,니켈,Nickel,Ni
7440-50-8,구리,Copper,Cu
7440-66-6,아연,Zinc,Zn
7440-55-3,갈륨,Gallium,Ga
7440-56-4,저마늄,Germanium,Ge
7440-38-2,비소,Arsenic,As
7782-49-2,셀레늄,Selenium,Se
7726-95-6,브로민,Bromine,Br
7439-90-9,크립톤,Krypton,Kr
7440-17-7,루비듐,Rubidium,Rb
7440-24-6,스트론튬,Strontium,Sr
7440-65-5,이트륨,Yttrium,Y
7440-67-7,지르코늄,Zirconium,Zr
7440-03-1,나이오븀,Niobium,Nb
7439-98-7,몰리브데넘,Molybdenum,Mo
7440-26-8,테크네튬,Technetium,Tc
7440-18-8,루테늄,Ruthenium,Ru
7440-16-6,로듐,Rhodium,Rh
7440-05-3,팔라듐,Palladium,Pd
7440-22-4,은,Silver,Ag
7440-43-9,카드뮴,Cadmium,Cd
7440-74-6,인듐,Indium,In
7440-31-5,주석,Tin,Sn
7440-36-0,안티모니,Antimony,Sb
13494-80-9,텔루륨,Tellurium,Te
7553-56-2,아이오딘,Iodine,I
7440-63-3,제논,Xenon,Xe
7440-46-2,세슘,Cesium,Cs
7440-39-3,바륨,Barium,Ba
7439-91-0,란타넘,Lanthanum,La
7440-45-1,세륨,Cerium,Ce
7440-10-0,프라세오디뮴,Praseodymium,Pr
7440-00-8,네오디뮴,Neodymium,Nd
7440-12-2,프로메튬,Promethium,Pm
7440-19-9,사마륨,Samarium,Sm
7440-53-1,유로퓸,Europium,Eu
7440-54-2,가돌리늄,Gadolinium,Gd
7440-27-9,터븀,Terbium,Tb
7429-91-6,디스프로슘,Dysprosium,Dy
7440-60-0,홀뮴,Holmium,Ho
7440-52-0,어븀,Erbium,Er
7440-30-4,툴륨,Thulium,Tm
7440-64-4,이터븀,Ytterbium,Yb
7439-94-3,루테튬,Lutetium,Lu
7440-58-6,하프늄,Hafnium,Hf
7440-25-7,탄탈럼,Tantalum,Ta
7440-33-7,텅스텐,Tungsten,W
7440-15-5,레늄,Rhenium,Re
7440-04-2,오스뮴,Osmium,Os
7439-88-5,이리듐,Iridium,Ir
7440-06-4,백금,Platinum,Pt
7440-57-5,금,Gold,Au
7439-97-6,수은,Mercury,Hg
7440-28-0,탈륨,Thallium,Tl
7439-92-1,납,Lead,Pb
7440-69-9,비스무트,Bismuth,Bi
7440-08-6,폴로늄,Polonium,Po
7440-68-8,아스타틴,Astatine,At
10043-92-2,라돈,Radon,Rn
7440-73-5,프랑슘,Francium,Fr
7440-14-4,라듐,Radium,Ra
7440-34-8,악티늄,Actinium,Ac
7440-29-1,토륨,Thorium,Th
7440-13-3,프로트악티늄,Protactinium,Pa
7440-61-1,우라늄,Uranium,U
7439-99-8,넵투늄,Neptunium,Np
7440-07-5,플루토늄,Plutonium,Pu
7440-35-9,아메리슘,Americium,Am
7440-51-9,퀴륨,Curium,Cm
7440-40-6,버클륨,Berkelium,Bk
7440-71-3,캘리포늄,Californium,Cf
7429-92-7,아인슈타이늄,Einsteinium,Es
7440-72-4,페르뮴,Fermium,Fm
7440-11-1,멘델레븀,Mendelevium,Md
10028-14-5,노벨륨,Nobelium,No
22537-19-5,로렌슘,Lawrencium,Lr
53850-36-5,러더포듐,Rutherfordium,Rf
53850-35-4,더브늄,Dubnium,Db
54038-81-2,시보귬,Seaborgium,Sg
54037-14-8,보륨,Bohrium,Bh
54037-57-9,하슘,Hassium,Hs
54038-01-6,마이트너륨,Meitnerium,Mt
54083-77-1,다름슈타튬,Darmstadtium,Ds
54386-24-2,뢴트게늄,Roentgenium,Rg
54084-26-3,코페르니슘,Copernicium,Cn
54084-70-7,니호늄,Nihonium,Nh
54085-16-4,플레로븀,Flerovium,Fl
54085-64-2,모스코븀,Moscovium,Mc
54100-71-9,리버모륨,Livermorium,Lv
87658-56-8,테네신,Tennessine,Ts
54144-19-3,오가네손,Oganesson,Og
