cas_number,name_ko,name_en,formula,aliases,note
7446-70-0,염화알루미늄(무수),Aluminum chloride anhydrous,AlCl3,무수염화알루미늄,촉매/수처리 - 흡습성 보관물질
7646-85-7,염화아연,Zinc chloride,ZnCl2,,도금/땜납 플럭스
7758-94-3,염화철(II),Iron(II) chloride,FeCl2,염화제일철,수처리 응집제
7772-99-8,염화주석(II),Tin(II) chloride,SnCl2,염화제일주석,도금/환원제
10043-01-3,황산알루미늄,Aluminum sulfate,Al2(SO4)3,황산반토,정수장 응집제
7681-38-1,황산수소나트륨,Sodium bisulfate,NaHSO4,중황산나트륨,세정/pH 조정제
7631-90-5,아황산수소나트륨,Sodium bisulfite,NaHSO3,중아황산나트륨,폐수 환원/탈염소 처리
7758-19-2,아염소산나트륨,Sodium chlorite,NaClO2,,표백/살균
7778-66-7,차아염소산칼륨 용액,Potassium hypochlorite solution,KClO,,소독제
7778-54-3,차아염소산칼슘,Calcium hypochlorite,Ca(ClO)2,고도표백분,상수/수영장 소독
1313-82-2,황화나트륨,Sodium sulfide,Na2S,,피혁/폐수 중금속 처리
7681-49-4,불화나트륨,Sodium fluoride,NaF,,방부/불소 처리
1310-65-2,수산화리튬 용액,Lithium hydroxide solution,LiOH,,이차전지 소재/CO2 흡수
151-50-8,사이안화칼륨,Potassium cyanide,KCN,청산가리 시안화칼륨,도금/금 제련
1333-82-0,삼산화크로뮴,Chromium trioxide,CrO3,무수크롬산,도금/표면처리
6484-52-2,질산암모늄,Ammonium nitrate,NH4NO3,,비료/화약 원료
7727-54-0,과황산암모늄,Ammonium persulfate,(NH4)2S2O8,,에칭/중합 개시제
7727-21-1,과황산칼륨,Potassium persulfate,K2S2O8,,표백/중합 개시제
7775-09-9,염소산나트륨,Sodium chlorate,NaClO3,,제초/표백
15630-89-4,과탄산나트륨,Sodium percarbonate,Na2CO3.3H2O2,산소계 표백제,세정/표백
1313-60-6,과산화나트륨,Sodium peroxide,Na2O2,,표백/산소 발생
102-71-6,트라이에탄올아민,Triethanolamine,C6H15NO3,트리에탄올아민 TEA,계면활성제/금속가공유
151-21-3,도데실황산나트륨,Sodium dodecyl sulfate,C12H25NaO4S,SDS 라우릴황산나트륨,세정제/실험용 계면활성제
27176-87-0,도데실벤젠술폰산,Dodecylbenzenesulfonic acid,C18H30O3S,DBSA,합성세제 원료
105-60-2,카프로락탐,Caprolactam,C6H11NO,,나일론6 원료
124-09-4,헥사메틸렌다이아민,Hexamethylenediamine,C6H16N2,헥사메틸렌디아민,나일론66 원료
101-68-8,다이페닐메테인-4-4'-다이아이소사이아네이트,Diphenylmethane-4 4'-diisocyanate,C15H10N2O2,MDI,폴리우레탄 원료
100-21-0,테레프탈산,Terephthalic acid,C8H6O4,TPA,PET 원료
79-06-1,아크릴아마이드,Acrylamide,C3H5NO,아크릴아미드,수처리 고분자/전기영동 겔
1333-86-4,카본블랙,Carbon black,C,카아본블랙,고무/안료 충전재
