cas_number,name_ko,name_en,formula,aliases,note
7722-64-7,과망가니즈산칼륨,Potassium permanganate,KMnO4,과망간산칼륨,강산화제 대표
7778-50-9,중크롬산칼륨,Potassium dichromate,K2Cr2O7,,강산화제 대표
16940-66-2,수소화붕소나트륨,Sodium borohydride,NaBH4,,강환원제 대표
1305-78-8,산화칼슘,Calcium oxide,CaO,생석회,대표 금속산화물
1309-37-1,삼산화이철,Iron(III) oxide,Fe2O3,,대표 금속산화물
7647-14-5,염화나트륨,Sodium chloride,NaCl,소금,대표 무기염
7757-79-1,질산칼륨,Potassium nitrate,KNO3,,대표 무기 질산염
7632-00-0,아질산나트륨,Sodium nitrite,NaNO2,,대표 무기 아질산염
94-36-0,과산화벤조일,Benzoyl peroxide,C14H10O4,,대표 유기과산화물
497-19-8,탄산나트륨,Sodium carbonate,Na2CO3,소다회,대표 탄산염
110-54-3,헥세인,Hexane,C6H14,헥산,대표 포화 지방족 탄화수소/유기용매
64-19-7,아세트산,Acetic acid,CH3COOH,초산,대표 카르복실산
108-95-2,페놀,Phenol,C6H5OH,,대표 페놀류
74-85-1,에틸렌,Ethylene,C2H4,에텐,대표 불포화 지방족 탄화수소
74-86-2,아세틸렌,Acetylene,C2H2,,대표 알킨류
60-29-7,다이에틸에터,Diethyl ether,C4H10O,에터,대표 에터류
50-00-0,폼알데하이드,Formaldehyde,HCHO,포름알데하이드,대표 알데하이드류
143-33-9,사이안화나트륨,Sodium cyanide,NaCN,,대표 무기 시안화물
1305-62-0,수산화칼슘,Calcium hydroxide,Ca(OH)2,소석회,대표 약염기
7758-98-7,황산구리,Copper sulfate,CuSO4,,대표 무기 황산염
7761-88-8,질산은,Silver nitrate,AgNO3,,대표 산화성 무기염
26628-22-8,아자이드화나트륨,Sodium azide,NaN3,,대표 아지도 화합물
100-64-1,사이클로헥사논 옥심,Cyclohexanone oxime,C6H11NO,사이클로헥산온 옥심,옥심 범주 대표 - 카프로락탐(105-60-2) 전구체
112-02-7,염화 헥사데실트라이메틸암모늄,Cetyltrimethylammonium chloride,C19H42ClN,CTAC 염화 헥사데실트리메틸암모늄,4급 암모늄(양이온 계면활성제) 범주 대표
62-53-3,아닐린,Aniline,C6H7N,아닐린유 아미노벤젠,방향족 아민 범주 대표
98-95-3,나이트로벤젠,Nitrobenzene,C6H5NO2,니트로벤젠,유기 나이트로 화합물 범주 대표
106-89-8,에피클로로하이드린,Epichlorohydrin,C3H5ClO,에피클로로히드린,에폭사이드 범주 대표
98-88-4,벤조일 클로라이드,Benzoyl chloride,C7H5ClO,염화벤조일,아실 할라이드 범주 대표
75-78-5,다이메틸다이클로로실란,Dimethyldichlorosilane,C2H6Cl2Si,디메틸디클로로실란,클로로실란 범주 대표
20859-73-8,인화알루미늄,Aluminum phosphide,AlP,알루미늄포스파이드,금속 인화물 범주 대표 - 곡물 훈증제
7646-69-7,수소화나트륨,Sodium hydride,NaH,,금속 수소화물 범주 대표
