cas_number,name_ko,name_en,core_category,kosha_status,checked_at,check_method,name_search_hits
7439-99-8,넵투늄,Neptunium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
10028-14-5,노벨륨,Nobelium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
54084-70-7,니호늄,Nihonium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
54083-77-1,다름슈타튬,Darmstadtium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
53850-35-4,더브늄,Dubnium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-14-4,라듐,Radium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,라듐->10102-05-3=팔라듐 질산 염(001420)|라듐->12125-22-3=파라듐 모노설파이드(039375)|라듐->13782-33-7=디아민 디클로로파라듐(025398)|라듐->28068-05-5=디아민 팔라듐-II-질산(025394)|라듐->7440-05-3=팔라듐(PALLADIUM)(015285)|라듐->13601-08-6=테트라아민팔라듐 디니트레이트(003879)|라듐->7647-10-1=팔라듐 염화물(PALLADIUM CHLORIDE)(015663)|라듐->7790-38-7=팔라듐 요오드화물(PALLADIUM IODIDE)(016103)|라듐->13566-03-5=팔라듐(II) 황산염(PALLADIUM(II) SULFATE)(003849)|라듐->1314-08-5=팔라듐 산화물 (PDO)(PALLADIUM OXIDE (PDO))(003456)|라듐->14323-43-4=디아민디클로로팔라듐(DIAMMINEDICHLOROPALLADIUM)(004256)|라듐->13820-40-1=암모늄 사염화파라듐산염(AMMONIUM TETRACHLOROPALLADATE)(003988)
53850-36-5,러더포듐,Rutherfordium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
22537-19-5,로렌슘,Lawrencium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
54386-24-2,뢴트게늄,Roentgenium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7439-94-3,루테튬,Lutetium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,루테튬->12032-20-1=산화 루테튬(002774)|루테튬->10099-66-8=염화 루테튬(LUTETIUM CHLORIDE)(001401)|Lutetium->12032-20-1=LUTETIUM OXIDE(002774)|Lutetium->15513-87-8=Lutetium triiodate(035646)|Lutetium->13760-81-1=Lutetium trifluoride(035645)|Lutetium->13813-45-1=Lutetium iodide (LuI3)(035638)|Lutetium->12005-94-6=Lutetium arsenide (LuAs)(035632)|Lutetium->10099-66-8=염화 루테튬(LUTETIUM CHLORIDE)(001401)|Lutetium->12163-21-2=Lutetium selenide (Lu2Se3)(035641)
54100-71-9,리버모륨,Livermorium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
54038-01-6,마이트너륨,Meitnerium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-11-1,멘델레븀,Mendelevium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
54085-64-2,모스코븀,Moscovium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
7440-40-6,버클륨,Berkelium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
54037-14-8,보륨,Bohrium,periodic_element,unlisted,2026-08-22,getChemList searchCnd=1(CAS)/0(국문명·영문명) 전부 0건,
