cas_number,chemical_name,expected_group,pubchem_cid,pubchem_groups,status
103-75-3,ETHOXYDIHYDROPYRAN,"Acetals, Ketals, Hemiacetals, and Hemiketals",7676,"Acetals, Ketals, Hemiacetals, and Hemiketals;Ethers;Hydrocarbons, Aliphatic Unsaturated",MATCH
60-00-4,EDTA,"Acids, Carboxylic",6049,"Acids, Carboxylic;Amines, Phosphines, and Pyridines",MATCH
64-19-7,ACETIC ACID,"Acids, Carboxylic",176,"Acids, Carboxylic;Water and Aqueous Solutions",MATCH
100-21-0,TEREPHTHALIC ACID,"Acids, Carboxylic",7489,"Acids, Carboxylic;Hydrocarbons, Aromatic",MATCH
104-01-8,4-METHOXYPHENYLACETIC ACID,"Acids, Carboxylic",7690,"Acids, Carboxylic;Ethers",MATCH
107-94-8,3-CHLOROPROPIONIC ACID,"Acids, Carboxylic",7899,"Acids, Carboxylic;Halogenated Organic Compounds",MATCH
107-97-1,SARCOSINE,"Acids, Carboxylic",1088,"Acids, Carboxylic;Amides and Imides",MATCH
109-52-4,PENTANOIC ACID,"Acids, Carboxylic",7991,"Acids, Carboxylic",MATCH
7647-01-0,HYDROCHLORIC ACID,"Acids, Strong Non-oxidizing",313,"Acids, Strong Non-oxidizing;Water and Aqueous Solutions",MATCH
7705-08-0,FERRIC CHLORIDE,"Acids, Strong Non-oxidizing",24380,"Acids, Strong Non-oxidizing;Water and Aqueous Solutions",MATCH
10025-91-9,ANTIMONY TRICHLORIDE,"Acids, Strong Non-oxidizing",24814,"Acids, Strong Non-oxidizing;Halogenating Agents;Oxidizing Agents, Strong",MATCH
10026-06-9,"STANNIC CHLORIDE, PENTAHYDRATE","Acids, Strong Non-oxidizing",61442,"Acids, Strong Non-oxidizing",MATCH
10026-11-6,ZIRCONIUM TETRACHLORIDE,"Acids, Strong Non-oxidizing",,,ERROR
10026-13-8,PHOSPHORUS PENTACHLORIDE,"Acids, Strong Non-oxidizing",24819,"Acids, Strong Non-oxidizing;Halogenating Agents;Oxidizing Agents, Strong",MATCH
1271-19-8,TITANOCENE DICHLORIDE,"Acids, Strong Non-oxidizing",76030824,"Acids, Strong Non-oxidizing;Hydrocarbons, Aromatic;Organometallics",MATCH
7664-93-9,SULFURIC ACID,"Acids, Strong Oxidizing",1118,"Acids, Strong Oxidizing",MATCH
7697-37-2,NITRIC ACID,"Acids, Strong Oxidizing",944,"Acids, Strong Oxidizing",MATCH
104-15-4,"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID","Acids, Strong Oxidizing",6101,"Acids, Strong Oxidizing",MATCH
1120-71-4,PROPANE SULTONE,"Acids, Strong Oxidizing",14264,"Acids, Strong Oxidizing;Sulfonates, Phosphonates, and Thiophosphonates, Organic",MATCH
1333-39-7,"PHENOLSULFONIC ACID, LIQUID","Acids, Strong Oxidizing",15619088,"Acids, Strong Oxidizing",MATCH
42615-29-2,"Benzenesulfonic acid, alkyl deriv., linear","Acids, Strong Oxidizing",16649,"Acids, Strong Oxidizing",MATCH
27176-87-0,DODECYLBENZENESULFONIC ACID,"Acids, Strong Oxidizing",,,ERROR
10265-92-6,METHAMIDOPHOS,"Acids, Weak",4096,"Acids, Weak;Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",MATCH
107-35-7,타우린,"Acids, Weak",1123,"Acids, Weak;Amines, Phosphines, and Pyridines",MATCH
105-16-8,"DIETHYLAMINOETHYLMETHACRYLATE, [LIQUID]",Acrylates and Acrylic Acids,61012,"Acrylates and Acrylic Acids;Amines, Phosphines, and Pyridines;Polymerizable Compounds",MATCH
100-07-2,4-METHOXYBENZOYL CHLORIDE,"Acyl Halides, Sulfonyl Halides, and Chloroformates",7477,"Acyl Halides, Sulfonyl Halides, and Chloroformates",MATCH
103-80-0,PHENYLACETYL CHLORIDE,"Acyl Halides, Sulfonyl Halides, and Chloroformates",7679,"Acyl Halides, Sulfonyl Halides, and Chloroformates",MATCH
64-17-5,ETHANOL,Alcohols and Polyols,702,"Acids, Weak;Alcohols and Polyols;Cyanides, Inorganic;Polymerizable Compounds",MATCH
106-24-1,게라니올,Alcohols and Polyols,637566,"Alcohols and Polyols;Hydrocarbons, Aliphatic Unsaturated",MATCH
100-51-6,BENZYL ALCOHOL,Alcohols and Polyols,244,Alcohols and Polyols,MATCH
105-11-3,"1,4-벤조퀴논, 다이옥심",Alcohols and Polyols,7737,"Alcohols and Polyols;Amines, Phosphines, and Pyridines;Hydrocarbons, Aliphatic Unsaturated",MATCH
10016-20-3,ALPHA-CYCLODEXTRIN,Alcohols and Polyols,444913,Alcohols and Polyols,MATCH
105-59-9,N-메틸다이에탄올아민,Alcohols and Polyols,7767,"Alcohols and Polyols;Amines, Phosphines, and Pyridines",MATCH
102-71-6,TRIETHANOLAMINE,Alcohols and Polyols,7618,"Alcohols and Polyols;Amines, Phosphines, and Pyridines",MATCH
100-73-2,"ACROLEIN DIMER, STABILIZED",Aldehydes,60994,"Aldehydes;Ethers;Hydrocarbons, Aliphatic Unsaturated;Polymerizable Compounds",MATCH
101-39-3,ALPHA-METHYLCINNAMALDEHYDE,Aldehydes,5372813,"Aldehydes;Hydrocarbons, Aliphatic Unsaturated;Hydrocarbons, Aromatic",MATCH
115-19-5,2-METHYL-2-HYDROXY-3-BUTYNE,"Alkynes, with Acetylenic Hydrogen",8258,"Alcohols and Polyols;Alkynes, with Acetylenic Hydrogen",MATCH
101-27-9,BARBAN,"Alkynes, with No Acetylenic Hydrogen",7551,"Alkynes, with No Acetylenic Hydrogen;Aryl Halides;Carbamates;Halogenated Organic Compounds",MATCH
