cas_number,name_ko,name_en,formula,aliases,axis,extra1,extra2
100-64-1,사이클로헥사논 옥심,Cyclohexanone oxime,C6H11NO,사이클로헥산온 옥심,representative,옥심 범주 대표 - 카프로락탐(105-60-2) 전구체,
112-02-7,염화 헥사데실트라이메틸암모늄,Cetyltrimethylammonium chloride,C19H42ClN,CTAC 염화 헥사데실트리메틸암모늄,representative,4급 암모늄(양이온 계면활성제) 범주 대표,
8049-17-0,페로실리콘,Ferrosilicon,FeSi,규소철,practical,제강 탈산·합금철 첨가제 - 습기와 반응해 포스핀·아르신 발생,
7487-94-7,염화수은(II),Mercury(II) chloride,HgCl2,승홍 염화제이수은,practical,실험실 시약장 상시 맹독물,
5470-11-1,하이드록실아민 염산염,Hydroxylamine hydrochloride,NH2OH·HCl,히드록실아민 염산염,educational,유기화학,케톤 유도체화(옥심/하이드라존 합성)
104-15-4,p-톨루엔설폰산,p-Toluenesulfonic acid,C7H8O3S,TsOH 파라톨루엔술폰산,educational,유기화학,에스터화·아세탈화 산촉매
7220-79-3,메틸렌 블루,Methylene blue trihydrate,C16H18ClN3S·3H2O,메틸렌블루,educational,일반화학,산화환원 지시약(blue bottle 실험)
7664-38-2,인산,Phosphoric acid,H3PO4,오르토인산,fundamental,,
67-63-0,아이소프로필알코올,Isopropyl alcohol,C3H8O,IPA 이소프로판올,fundamental,,
141-78-6,아세트산에틸,Ethyl acetate,C4H8O2,초산에틸 에틸아세테이트,fundamental,,
75-09-2,다이클로로메테인,Dichloromethane,CH2Cl2,염화메틸렌 디클로로메탄 MC,fundamental,,
75-05-8,아세토나이트릴,Acetonitrile,C2H3N,아세토니트릴 메틸시안,fundamental,,
109-99-9,테트라하이드로퓨란,Tetrahydrofuran,C4H8O,THF 테트라히드로푸란,fundamental,,
68-12-2,"N,N-다이메틸폼아마이드","N,N-Dimethylformamide",C3H7NO,DMF 디메틸포름아미드,fundamental,,
7601-90-3,과염소산,Perchloric acid,HClO4,,fundamental,,
77-09-8,페놀프탈레인,Phenolphthalein,C20H14O4,,educational,분석화학,산-염기 적정 지시약
547-58-0,메틸오렌지,Methyl orange,C14H14N3NaO3S,메틸 오렌지,educational,분석화학,산-염기 적정 지시약
69-72-7,살리실산,Salicylic acid,C7H6O3,살리실릭산,educational,유기화학,아스피린(아세틸살리실산) 합성
74-98-6,프로페인,Propane,C3H8,프로판 LPG,practical,LPG - 사업장 상시 보관 인화성 액화기체,
78-93-3,메틸에틸케톤,Methyl ethyl ketone,C4H8O,MEK 2-부탄온,practical,도료·세척 용제 - 상시 대량 보관,
1330-20-7,자일렌,Xylene,C8H10,크실렌 자일롤,practical,도료 희석제·용제,
302-01-2,하이드라진,Hydrazine,N2H4,히드라진,practical,보일러 탈산소제 - 강환원제,
107-21-1,에틸렌글라이콜,Ethylene glycol,C2H6O2,에틸렌글리콜 부동액,practical,부동액·열매체,
62-53-3,아닐린,Aniline,C6H7N,아닐린유 아미노벤젠,representative,방향족 아민 범주 대표,
98-95-3,나이트로벤젠,Nitrobenzene,C6H5NO2,니트로벤젠,representative,유기 나이트로 화합물 범주 대표,
106-89-8,에피클로로하이드린,Epichlorohydrin,C3H5ClO,에피클로로히드린,representative,에폭사이드 범주 대표,
98-88-4,벤조일 클로라이드,Benzoyl chloride,C7H5ClO,염화벤조일,representative,아실 할라이드 범주 대표,
75-78-5,다이메틸다이클로로실란,Dimethyldichlorosilane,C2H6Cl2Si,디메틸디클로로실란,representative,클로로실란 범주 대표,
20859-73-8,인화알루미늄,Aluminum phosphide,AlP,알루미늄포스파이드,representative,금속 인화물 범주 대표 - 곡물 훈증제,
7646-69-7,수소화나트륨,Sodium hydride,NaH,,representative,금속 수소화물 범주 대표,
