cas_number,name_ko
100-21-0,테레프탈산
100-51-6,벤질알코올
10028-14-5,노벨륨
10043-01-3,황산알루미늄
10043-92-2,라돈
10099-74-8,질산납(II)
101-68-8,다이페닐메테인-4-4'-다이아이소사이아네이트
102-54-5,페로센
102-71-6,트라이에탄올아민
10361-37-2,염화바륨
105-60-2,카프로락탐
108-24-7,무수아세트산
108-88-3,톨루엔
108-95-2,페놀
110-54-3,헥세인
124-09-4,헥사메틸렌다이아민
124-38-9,이산화탄소
1305-62-0,수산화칼슘
1305-78-8,산화칼슘
1309-37-1,삼산화이철
1310-58-3,수산화칼륨
1310-65-2,수산화리튬 용액
1310-73-2,수산화나트륨
1313-60-6,과산화나트륨
1313-82-2,황화나트륨
1333-74-0,수소
1333-82-0,삼산화크로뮴
1333-86-4,카본블랙
1336-21-6,수산화암모늄
13494-80-9,텔루륨
143-33-9,사이안화나트륨
144-55-8,탄산수소나트륨
151-21-3,도데실황산나트륨
151-50-8,사이안화칼륨
15630-89-4,과탄산나트륨
16940-66-2,수소화붕소나트륨
1762-95-4,싸이오사이안산암모늄
22537-19-5,로렌슘
26628-22-8,아자이드화나트륨
27176-87-0,도데실벤젠술폰산
3811-04-9,염소산칼륨
471-34-1,탄산칼슘
497-19-8,탄산나트륨
50-00-0,폼알데하이드
53850-35-4,더브늄
53850-36-5,러더포듐
540-72-7,싸이오사이안산나트륨
54037-14-8,보륨
54037-57-9,하슘
54038-01-6,마이트너륨
54038-81-2,시보귬
54083-77-1,다름슈타튬
54084-26-3,코페르니슘
54084-70-7,니호늄
54085-16-4,플레로븀
54085-64-2,모스코븀
54100-71-9,리버모륨
54144-19-3,오가네손
54386-24-2,뢴트게늄
57-13-6,요소
60-00-4,에틸렌다이아민테트라아세트산
60-29-7,다이에틸에터
62-76-0,옥살산나트륨
630-08-0,일산화탄소
64-17-5,에탄올
64-19-7,아세트산
6484-52-2,질산암모늄
67-56-1,메탄올
67-64-1,아세톤
71-43-2,벤젠
74-82-8,메탄
74-85-1,에틸렌
74-86-2,아세틸렌
7429-90-5,알루미늄
7429-91-6,디스프로슘
7429-92-7,아인슈타이늄
7439-88-5,이리듐
7439-89-6,철
7439-90-9,크립톤
7439-91-0,란타넘
7439-92-1,납
7439-93-2,리튬
7439-94-3,루테튬
7439-95-4,마그네슘
7439-96-5,망가니즈
7439-97-6,수은
7439-98-7,몰리브데넘
7439-99-8,넵투늄
7440-00-8,네오디뮴
7440-01-9,네온
7440-02-0,니켈
7440-03-1,나이오븀
7440-04-2,오스뮴
7440-05-3,팔라듐
7440-06-4,백금
7440-07-5,플루토늄
7440-08-6,폴로늄
7440-09-7,칼륨
7440-10-0,프라세오디뮴
7440-11-1,멘델레븀
7440-12-2,프로메튬
7440-13-3,프로트악티늄
7440-14-4,라듐
7440-15-5,레늄
7440-16-6,로듐
7440-17-7,루비듐
7440-18-8,루테늄
7440-19-9,사마륨
7440-20-2,스칸듐
7440-21-3,규소
7440-22-4,은
7440-23-5,나트륨
7440-24-6,스트론튬
7440-25-7,탄탈럼
7440-26-8,테크네튬
7440-27-9,터븀
7440-28-0,탈륨
7440-29-1,토륨
7440-30-4,툴륨
7440-31-5,주석
7440-32-6,티타늄
7440-33-7,텅스텐
7440-34-8,악티늄
7440-35-9,아메리슘
7440-36-0,안티모니
7440-37-1,아르곤
7440-38-2,비소
7440-39-3,바륨
7440-40-6,버클륨
7440-41-7,베릴륨
7440-42-8,붕소
7440-43-9,카드뮴
7440-44-0,탄소
7440-45-1,세륨
7440-46-2,세슘
7440-47-3,크로뮴
7440-48-4,코발트
7440-50-8,구리
7440-51-9,퀴륨
7440-52-0,어븀
7440-53-1,유로퓸
7440-54-2,가돌리늄
7440-55-3,갈륨
7440-56-4,저마늄
7440-57-5,금
7440-58-6,하프늄
7440-59-7,헬륨
7440-60-0,홀뮴
7440-61-1,우라늄
7440-62-2,바나듐
7440-63-3,제논
7440-64-4,이터븀
7440-65-5,이트륨
7440-66-6,아연
7440-67-7,지르코늄
7440-68-8,아스타틴
7440-69-9,비스무트
7440-70-2,칼슘
7440-71-3,캘리포늄
7440-72-4,페르뮴
7440-73-5,프랑슘
7440-74-6,인듐
7446-70-0,염화알루미늄(무수)
7447-40-7,염화칼륨
7553-56-2,아이오딘
7631-90-5,아황산수소나트륨
7632-00-0,아질산나트륨
7646-85-7,염화아연
7647-01-0,염화수소
7647-14-5,염화나트륨
7664-39-3,불화수소
7664-41-7,암모니아
7664-93-9,황산
7681-11-0,아이오딘화칼륨
7681-38-1,황산수소나트륨
7681-49-4,불화나트륨
7697-37-2,질산
7704-34-9,황
7705-08-0,염화철(III)
7722-64-7,과망가니즈산칼륨
7722-84-1,과산화수소
7723-14-0,인
7726-95-6,브로민
7727-21-1,과황산칼륨
7727-37-9,질소
7727-54-0,과황산암모늄
7732-18-5,물
7757-79-1,질산칼륨
7758-19-2,아염소산나트륨
7758-94-3,염화철(II)
7758-98-7,황산구리
7761-88-8,질산은
7772-98-7,싸이오황산나트륨
7772-99-8,염화주석(II)
7775-09-9,염소산나트륨
7778-50-9,중크롬산칼륨
7778-54-3,차아염소산칼슘
7778-66-7,차아염소산칼륨 용액
7782-41-4,불소
7782-44-7,산소
7782-49-2,셀레늄
7782-50-5,염소
7786-81-4,황산니켈(II)
7789-00-6,크로뮴산칼륨
79-06-1,아크릴아마이드
87658-56-8,테네신
94-36-0,과산화벤조일
