cas_number,chemical_name,group_id,group_name,source,course,experiment
103-75-3,ETHOXYDIHYDROPYRAN,1,"Acetals, Ketals, Hemiacetals, and Hemiketals",pool_supplement,,
60-00-4,EDTA,2,"Acids, Carboxylic",curated_curriculum,분석화학,킬레이트 적정(EDTA)
64-19-7,ACETIC ACID,2,"Acids, Carboxylic",curated_curriculum,유기화학,에스테르화 반응
100-21-0,TEREPHTHALIC ACID,2,"Acids, Carboxylic",pool_supplement,,
104-01-8,4-METHOXYPHENYLACETIC ACID,2,"Acids, Carboxylic",pool_supplement,,
107-94-8,3-CHLOROPROPIONIC ACID,2,"Acids, Carboxylic",pool_supplement,,
107-97-1,SARCOSINE,2,"Acids, Carboxylic",pool_supplement,,
109-52-4,PENTANOIC ACID,2,"Acids, Carboxylic",pool_topup,,
7647-01-0,HYDROCHLORIC ACID,3,"Acids, Strong Non-oxidizing",curated_curriculum,일반화학,산-염기 적정
7705-08-0,FERRIC CHLORIDE,3,"Acids, Strong Non-oxidizing",curated_curriculum,무기화학,착물합성/페놀검출
10025-91-9,ANTIMONY TRICHLORIDE,3,"Acids, Strong Non-oxidizing",pool_supplement,,
10026-06-9,"STANNIC CHLORIDE, PENTAHYDRATE",3,"Acids, Strong Non-oxidizing",pool_supplement,,
10026-11-6,ZIRCONIUM TETRACHLORIDE,3,"Acids, Strong Non-oxidizing",pool_supplement,,
10026-13-8,PHOSPHORUS PENTACHLORIDE,3,"Acids, Strong Non-oxidizing",pool_supplement,,
1271-19-8,TITANOCENE DICHLORIDE,3,"Acids, Strong Non-oxidizing",pool_topup,,
7664-93-9,SULFURIC ACID,4,"Acids, Strong Oxidizing",curated_curriculum,일반화학,산-염기/탈수
7697-37-2,NITRIC ACID,4,"Acids, Strong Oxidizing",curated_curriculum,일반화학,산화반응
42615-29-2,"Benzenesulfonic acid, alkyl deriv., linear",4,"Acids, Strong Oxidizing",pool_replacement,,
104-15-4,"TOLUENE SULFONIC ACID, LIQUID, WITH MORE THAN 5% FREE SULFURIC ACID",4,"Acids, Strong Oxidizing",pool_supplement,,
1120-71-4,PROPANE SULTONE,4,"Acids, Strong Oxidizing",pool_supplement,,
1333-39-7,"PHENOLSULFONIC ACID, LIQUID",4,"Acids, Strong Oxidizing",pool_supplement,,
