cas_number,registry_name_ko,registry_name_en,rag_chunk_name,kosha_name,chem_id,kosha_last_date,status,detail,name_differs
100-01-6,p-니트로아닐린,"P-NITROANILINE, [SOLID]",p-니트로아닐린,p-니트로아닐린,001163,2025-08-08,matched,cache,False
100-02-7,p-나이트로페놀,4-NITROPHENOL,p-나이트로페놀,p-나이트로페놀,000198,2025-08-08,matched,cache,False
100-15-2,N-methyl-4-nitroaniline,N-METHYL-4-NITROANILINE,N-methyl-4-nitroaniline,N-methyl-4-nitroaniline,427870,2023-10-12,matched,cache,False
100-22-1,"N,N,N'',N''-테트라메틸-1,4-페닐렌다이아민","N,N,N&#39;,N&#39;-TETRAMETHYL-P-PHENYLENEDIAMINE","N,N,N'',N''-테트라메틸-1,4-페닐렌다이아민","N,N,N'',N''-테트라메틸-1,4-페닐렌다이아민",001210,,matched,cache,False
100-64-1,사이클로헥사논 옥심,CYCLOHEXANONE OXIME,사이클로헥사논 옥심,사이클로헥사논 옥심,365793,2018-12-28,matched,cache,False
10025-91-9,삼염화 안티모니(삼염화 안티몬)(ANTIMONY TRICHLORIDE),ANTIMONY TRICHLORIDE,삼염화 안티모니(삼염화 안티몬)(ANTIMONY TRICHLORIDE),삼염화 안티모니(삼염화 안티몬)(ANTIMONY TRICHLORIDE),001232,2025-08-08,matched,cache,False
10026-06-9,"주석 염화물, 펜타수화물(STANNIC CHLORIDE, PENTAHYDRATE)","STANNIC CHLORIDE, PENTAHYDRATE","주석 염화물, 펜타수화물(STANNIC CHLORIDE, PENTAHYDRATE)","주석 염화물, 펜타수화물(STANNIC CHLORIDE, PENTAHYDRATE)",001240,2025-08-08,matched,cache,False
10026-11-6,"사염화 지르코늄, 고체",ZIRCONIUM TETRACHLORIDE,"사염화 지르코늄, 고체","사염화 지르코늄, 고체",001243,2025-08-08,matched,cache,False
10026-13-8,포스포러스 펜타클로라이드,PHOSPHORUS PENTACHLORIDE,포스포러스 펜타클로라이드,포스포러스 펜타클로라이드,000769,2025-08-08,matched,cache,False
10026-17-2,플루오린화 아코발트(플루오르화 아코발트)(COBALTOUS FLUORIDE),COBALT FLUORIDE,플루오린화 아코발트(플루오르화 아코발트)(COBALTOUS FLUORIDE),플루오린화 아코발트(플루오르화 아코발트)(COBALTOUS FLUORIDE),001246,2025-08-08,matched,cache,False
10028-14-5,노벨륨,Nobelium,,,,,not_found,cache,False
10039-54-0,황산 하이드록실아민(HYDROXYLAMINE SULFATE),HYDROXYLAMINE SULFATE,황산 하이드록실아민(HYDROXYLAMINE SULFATE),황산 하이드록실아민(HYDROXYLAMINE SULFATE),000772,2025-08-08,matched,cache,False
10043-92-2,라돈,Radon,,라돈-220,001310,2025-08-11,matched,cache,True
