cas_number,name_ko,core_axis,origin,kosha,msds,indexed,cameo,cameo_groups,cameo_source,s10_specific_chars,s10_thin,tier,tier_code
100-21-0,테레프탈산,practical,CORE207,True,True,True,True,"Acids, Carboxylic | Hydrocarbons, Aromatic",CAMEO_scrape,171,False,A · 계약 4조건 전부 충족,A
100-51-6,벤질알코올,educational,CORE207,True,True,True,True,Alcohols and Polyols,CAMEO_scrape,151,False,A · 계약 4조건 전부 충족,A
100-64-1,사이클로헥사논 옥심,representative,add_2026-08-22,True,True,True,True,Oximes,CAMEO_scrape,404,False,A · 계약 4조건 전부 충족,A
10028-14-5,노벨륨,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
10043-01-3,황산알루미늄,practical,CORE207,True,True,True,True,"Salts, Acidic | Water and Aqueous Solutions",CAMEO_scrape,167,False,A · 계약 4조건 전부 충족,A
10043-92-2,라돈,periodic_element,CORE207,True,True,False,False,,,24,True,C · CAMEO 매핑 결여,C
10099-74-8,질산납(II),educational,CORE207,True,True,True,True,"Nitrate and Nitrite Compounds, Inorganic",CAMEO_scrape,0,True,A · 계약 4조건 전부 충족,A
101-68-8,다이페닐메테인-4-4'-다이아이소사이아네이트,practical,CORE207,True,True,True,True,Isocyanates and Isothiocyanates,CAMEO_scrape,9,True,A · 계약 4조건 전부 충족,A
102-54-5,페로센,educational,CORE207,True,True,True,True,"Hydrocarbons, Aromatic | Organometallics",CAMEO_scrape,303,False,A · 계약 4조건 전부 충족,A
102-71-6,트라이에탄올아민,practical,CORE207,True,True,True,True,"Alcohols and Polyols | Amines, Phosphines, and Pyridines",CAMEO_scrape,156,False,A · 계약 4조건 전부 충족,A
10361-37-2,염화바륨,educational,CORE207,True,True,True,True,Non-Redox-Active Inorganic Compounds,CAMEO_scrape,248,False,A · 계약 4조건 전부 충족,A
104-15-4,p-톨루엔설폰산,educational,add_2026-08-22,True,True,True,True,"Acids, Strong Oxidizing",CAMEO_scrape,248,False,A · 계약 4조건 전부 충족,A
105-60-2,카프로락탐,practical,CORE207,True,True,True,True,Amides and Imides | Polymerizable Compounds,CAMEO_scrape,151,False,A · 계약 4조건 전부 충족,A
106-89-8,에피클로로하이드린,representative,add_2026-08-22,True,True,True,True,Epoxides | Halogenated Organic Compounds | Polymerizable Compounds,pubchem_cameo_2026-08-22,349,False,A · 계약 4조건 전부 충족,A
107-21-1,에틸렌글라이콜,practical,add_2026-08-22,True,True,True,True,Alcohols and Polyols,CAMEO_scrape,160,False,A · 계약 4조건 전부 충족,A
108-24-7,무수아세트산,educational,CORE207,True,True,True,True,Anhydrides,manual_classification_verified,434,False,A · 계약 4조건 전부 충족,A
108-88-3,톨루엔,fundamental,CORE207,True,True,True,True,"Hydrocarbons, Aromatic",manual_classification_verified,334,False,A · 계약 4조건 전부 충족,A
108-95-2,페놀,representative,CORE207,True,True,True,True,"Acids, Weak | Phenols and Cresols | Water and Aqueous Solutions",CAMEO_scrape,243,False,A · 계약 4조건 전부 충족,A
109-99-9,테트라하이드로퓨란,fundamental,add_2026-08-22,True,True,True,True,Ethers,pubchem_cameo_2026-08-22,323,False,A · 계약 4조건 전부 충족,A
110-54-3,헥세인,representative,CORE207,True,True,True,True,"Hydrocarbons, Aliphatic Saturated",manual_classification_verified,288,False,A · 계약 4조건 전부 충족,A
112-02-7,염화 헥사데실트라이메틸암모늄,representative,add_2026-08-22,True,True,True,True,Non-Redox-Active Inorganic Compounds | Quaternary Ammonium and Phosphonium Salts,CAMEO_scrape,175,False,A · 계약 4조건 전부 충족,A
124-09-4,헥사메틸렌다이아민,practical,CORE207,True,True,True,True,"Amines, Phosphines, and Pyridines | Water and Aqueous Solutions",CAMEO_scrape,248,False,A · 계약 4조건 전부 충족,A
124-38-9,이산화탄소,fundamental,CORE207,True,True,True,True,"Acids, Weak | Not Chemically Reactive agents",pubchem_verified,71,False,A · 계약 4조건 전부 충족,A
1305-62-0,수산화칼슘,representative,CORE207,True,True,True,True,"Bases, Weak",CAMEO_scrape,151,False,A · 계약 4조건 전부 충족,A
1305-78-8,산화칼슘,representative,CORE207,True,True,True,True,"Bases, Strong",CAMEO_scrape,241,False,A · 계약 4조건 전부 충족,A
1309-37-1,삼산화이철,representative,CORE207,True,True,True,True,Non-Redox-Active Inorganic Compounds,pubchem_cameo_2026-08-22,273,False,A · 계약 4조건 전부 충족,A
1310-58-3,수산화칼륨,fundamental,CORE207,True,True,True,True,"Bases, Strong | Water and Aqueous Solutions",CAMEO_scrape,253,False,A · 계약 4조건 전부 충족,A
1310-65-2,수산화리튬 용액,practical,CORE207,True,True,True,True,"Bases, Strong | Water and Aqueous Solutions",CAMEO_scrape,248,False,A · 계약 4조건 전부 충족,A
1310-73-2,수산화나트륨,fundamental,CORE207,True,True,True,True,"Bases, Strong | Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes | Water and Aqueous Solutions","CAMEO_scrape,pubchem_verified",267,False,A · 계약 4조건 전부 충족,A
1313-60-6,과산화나트륨,practical,CORE207,True,True,True,True,"Bases, Strong | Oxidizing Agents, Strong",CAMEO_scrape,0,True,A · 계약 4조건 전부 충족,A
1313-82-2,황화나트륨,practical,CORE207,True,True,True,True,"Bases, Weak | Sulfides, Inorganic | Water and Aqueous Solutions",CAMEO_scrape,263,False,A · 계약 4조건 전부 충족,A
1330-20-7,자일렌,practical,add_2026-08-22,True,True,True,True,"Hydrocarbons, Aromatic",pubchem_cameo_2026-08-22,0,True,A · 계약 4조건 전부 충족,A
1333-74-0,수소,periodic_element,CORE207,True,True,True,True,"Reducing Agents, Weak",pubchem_verified,384,False,A · 계약 4조건 전부 충족,A
1333-82-0,삼산화크로뮴,practical,CORE207,True,True,True,True,"Anhydrides | Oxidizing Agents, Strong",CAMEO_scrape,0,True,A · 계약 4조건 전부 충족,A
1333-86-4,카본블랙,practical,CORE207,True,True,True,True,"Hydrocarbons, Aliphatic Saturated | Reducing Agents, Weak",CAMEO_scrape,313,False,A · 계약 4조건 전부 충족,A
1336-21-6,수산화암모늄,educational,CORE207,True,True,True,True,"Bases, Weak | Water and Aqueous Solutions",CAMEO_scrape,17,True,A · 계약 4조건 전부 충족,A
13494-80-9,텔루륨,periodic_element,CORE207,True,True,True,True,"Metals, Less Reactive agents",CAMEO_scrape,141,False,A · 계약 4조건 전부 충족,A
141-78-6,아세트산에틸,fundamental,add_2026-08-22,True,True,True,True,"Esters, Sulfate Esters, Phosphate Esters, Thiophosphate Esters, and Borate Esters",pubchem_cameo_2026-08-22,319,False,A · 계약 4조건 전부 충족,A
143-33-9,사이안화나트륨,representative,CORE207,True,True,True,True,"Bases, Weak | Cyanides, Inorganic | Water and Aqueous Solutions",CAMEO_scrape,256,False,A · 계약 4조건 전부 충족,A
144-55-8,탄산수소나트륨,educational,CORE207,True,True,True,True,Carbonate Salts,CAMEO_scrape,161,False,A · 계약 4조건 전부 충족,A
151-21-3,도데실황산나트륨,practical,CORE207,True,True,True,True,"Hydrocarbons, Aliphatic Saturated | Salts, Basic",CAMEO_scrape,162,False,A · 계약 4조건 전부 충족,A
151-50-8,사이안화칼륨,practical,CORE207,True,True,True,True,"Bases, Weak | Cyanides, Inorganic | Water and Aqueous Solutions",CAMEO_scrape,297,False,A · 계약 4조건 전부 충족,A
15630-89-4,과탄산나트륨,practical,CORE207,True,True,True,True,"Carbonate Salts | Oxidizing Agents, Strong | Salts, Basic",CAMEO_scrape,180,False,A · 계약 4조건 전부 충족,A
16940-66-2,수소화붕소나트륨,representative,CORE207,True,True,True,True,"Bases, Strong | Metal Hydrides, Metal Alkyls, Metal Aryls, and Silanes | Water and Aqueous Solutions","pubchem_verified,CAMEO_scrape",401,False,A · 계약 4조건 전부 충족,A
1762-95-4,싸이오사이안산암모늄,educational,CORE207,True,True,True,True,"Reducing Agents, Strong | Salts, Acidic | Water and Aqueous Solutions",CAMEO_scrape,171,False,A · 계약 4조건 전부 충족,A
20859-73-8,인화알루미늄,representative,add_2026-08-22,True,True,True,True,"Nitrides, Phosphides, Carbides, and Silicides",CAMEO_scrape,34,False,A · 계약 4조건 전부 충족,A
22537-19-5,로렌슘,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
26628-22-8,아자이드화나트륨,representative,CORE207,True,True,True,True,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds",CAMEO_scrape,258,False,A · 계약 4조건 전부 충족,A
27176-87-0,도데실벤젠술폰산,practical,CORE207,True,True,True,True,"Acids, Strong Oxidizing",CAMEO_scrape,207,False,A · 계약 4조건 전부 충족,A
302-01-2,하이드라진,practical,add_2026-08-22,True,True,True,True,"Azo, Diazo, Azido, Hydrazine, and Azide Compounds | Bases, Strong | Bases, Weak | Water and Aqueous Solutions",pubchem_cameo_2026-08-22,348,False,A · 계약 4조건 전부 충족,A
3811-04-9,염소산칼륨,educational,CORE207,True,True,True,True,"Oxidizing Agents, Strong | Water and Aqueous Solutions",CAMEO_scrape,471,False,A · 계약 4조건 전부 충족,A
471-34-1,탄산칼슘,educational,CORE207,True,True,True,True,Carbonate Salts,CAMEO_scrape,151,False,A · 계약 4조건 전부 충족,A
497-19-8,탄산나트륨,representative,CORE207,True,True,False,False,,,156,False,C · CAMEO 매핑 결여,C
50-00-0,폼알데하이드,representative,CORE207,True,True,True,True,Aldehydes | Polymerizable Compounds | Water and Aqueous Solutions,CAMEO_scrape,332,False,A · 계약 4조건 전부 충족,A
53850-35-4,더브늄,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
53850-36-5,러더포듐,periodic_element,CORE207,False,False,False,False,,,0,True,X · KOSHA 미등재,X
