cas_number,name_ko,name_en,core_axis,kosha,cid,registry_formula,pubchem_formula,status,group_ids,group_names,note
10043-92-2,라돈,Radon,periodic_element,True,24857,Rn,Rn,NO_CAMEO_GROUP,,,
7429-91-6,디스프로슘,Dysprosium,periodic_element,True,23912,Dy,Dy,NO_CAMEO_GROUP,,,
7439-88-5,이리듐,Iridium,periodic_element,True,23924,Ir,Ir,NO_CAMEO_GROUP,,,
7439-91-0,란타넘,Lanthanum,periodic_element,True,23926,La,La,NO_CAMEO_GROUP,,,
7440-00-8,네오디뮴,Neodymium,periodic_element,True,23934,Nd,Nd,NO_CAMEO_GROUP,,,
7440-03-1,나이오븀,Niobium,periodic_element,True,23936,Nb,Nb,NO_CAMEO_GROUP,,,
7440-04-2,오스뮴,Osmium,periodic_element,True,23937,Os,Os,NO_CAMEO_GROUP,,,
7440-05-3,팔라듐,Palladium,periodic_element,True,23938,Pd,Pd,NO_CAMEO_GROUP,,,
7440-15-5,레늄,Rhenium,periodic_element,True,23947,Re,Re,NO_CAMEO_GROUP,,,
7440-18-8,루테늄,Ruthenium,periodic_element,True,23950,Ru,Ru,NO_CAMEO_GROUP,,,
7440-19-9,사마륨,Samarium,periodic_element,True,23951,Sm,Sm,NO_CAMEO_GROUP,,,
7440-20-2,스칸듐,Scandium,periodic_element,True,23952,Sc,Sc,NO_CAMEO_GROUP,,,
7440-24-6,스트론튬,Strontium,periodic_element,True,5359327,Sr,Sr,NO_CAMEO_GROUP,,,
7440-27-9,터븀,Terbium,periodic_element,True,23958,Tb,Tb,NO_CAMEO_GROUP,,,
7440-29-1,토륨,Thorium,periodic_element,True,23960,Th,Th,NO_CAMEO_GROUP,,,
7440-42-8,붕소,Boron,periodic_element,True,5462311,B,B,NO_CAMEO_GROUP,,,
7440-53-1,유로퓸,Europium,periodic_element,True,23981,Eu,Eu,NO_CAMEO_GROUP,,,
7440-54-2,가돌리늄,Gadolinium,periodic_element,True,23982,Gd,Gd,NO_CAMEO_GROUP,,,
7440-56-4,저마늄,Germanium,periodic_element,True,6326954,Ge,Ge,NO_CAMEO_GROUP,,,
7440-57-5,금,Gold,periodic_element,True,23985,Au,Au,NO_CAMEO_GROUP,,,
7440-61-1,우라늄,Uranium,periodic_element,True,23989,U,U,NO_CAMEO_GROUP,,,
7440-64-4,이터븀,Ytterbium,periodic_element,True,23992,Yb,Yb,NO_CAMEO_GROUP,,,
7440-69-9,비스무트,Bismuth,periodic_element,True,5359367,Bi,Bi,NO_CAMEO_GROUP,,,
497-19-8,탄산나트륨,Sodium carbonate,representative,True,10340,Na2CO3,CNa2O3,NO_CAMEO_GROUP,,,
7647-14-5,염화나트륨,Sodium chloride,representative,True,5234,NaCl,ClNa,NO_CAMEO_GROUP,,,
10028-14-5,노벨륨,Nobelium,periodic_element,False,24822,No,No,NO_CAMEO_GROUP,,,
22537-19-5,로렌슘,Lawrencium,periodic_element,False,31192,Lr,Lr,NO_CAMEO_GROUP,,,
53850-35-4,더브늄,Dubnium,periodic_element,False,56951718,Db,Db,NO_CAMEO_GROUP,,,
53850-36-5,러더포듐,Rutherfordium,periodic_element,False,56951715,Rf,Rf,NO_CAMEO_GROUP,,,
54037-14-8,보륨,Bohrium,periodic_element,False,56951713,Bh,Bh,NO_CAMEO_GROUP,,,
54037-57-9,하슘,Hassium,periodic_element,False,56951714,Hs,Hs,NO_CAMEO_GROUP,,,
54038-01-6,마이트너륨,Meitnerium,periodic_element,False,56951716,Mt,Mt,NO_CAMEO_GROUP,,,
54038-81-2,시보귬,Seaborgium,periodic_element,False,56951717,Sg,Sg,NO_CAMEO_GROUP,,,
54083-77-1,다름슈타튬,Darmstadtium,periodic_element,False,135476787,Ds,Ds,NO_CAMEO_GROUP,,,
54084-26-3,코페르니슘,Copernicium,periodic_element,False,135476785,Cn,Cn,NO_CAMEO_GROUP,,,
54084-70-7,니호늄,Nihonium,periodic_element,False,175670870,Nh,Nh,NO_CAMEO_GROUP,,,
54085-16-4,플레로븀,Flerovium,periodic_element,False,168007562,Fl,Fl,NO_CAMEO_GROUP,,,
54085-64-2,모스코븀,Moscovium,periodic_element,False,175670871,Mc,Mc,NO_CAMEO_GROUP,,,
54100-71-9,리버모륨,Livermorium,periodic_element,False,168007550,Lv,Lv,NO_CAMEO_GROUP,,,
54144-19-3,오가네손,Oganesson,periodic_element,False,168007547,Og,Og,NO_CAMEO_GROUP,,,
54386-24-2,뢴트게늄,Roentgenium,periodic_element,False,135476786,Rg,Rg,NO_CAMEO_GROUP,,,
7429-92-7,아인슈타이늄,Einsteinium,periodic_element,False,23913,Es,Es,NO_CAMEO_GROUP,,,
7439-94-3,루테튬,Lutetium,periodic_element,False,23929,Lu,Lu,NO_CAMEO_GROUP,,,
7439-99-8,넵투늄,Neptunium,periodic_element,False,23933,Np,Np,NO_CAMEO_GROUP,,,
7440-07-5,플루토늄,Plutonium,periodic_element,False,23940,Pu,Pu,NO_CAMEO_GROUP,,,
7440-08-6,폴로늄,Polonium,periodic_element,False,6328143,Po,Po,NO_CAMEO_GROUP,,,
7440-10-0,프라세오디뮴,Praseodymium,periodic_element,False,23942,Pr,Pr,NO_CAMEO_GROUP,,,
7440-11-1,멘델레븀,Mendelevium,periodic_element,False,23943,Md,Md,NO_CAMEO_GROUP,,,
7440-12-2,프로메튬,Promethium,periodic_element,False,23944,Pm,Pm,NO_CAMEO_GROUP,,,
7440-13-3,프로트악티늄,Protactinium,periodic_element,False,23945,Pa,Pa,NO_CAMEO_GROUP,,,
7440-14-4,라듐,Radium,periodic_element,False,6328144,Ra,Ra,NO_CAMEO_GROUP,,,
7440-26-8,테크네튬,Technetium,periodic_element,False,23957,Tc,Tc,NO_CAMEO_GROUP,,,
7440-30-4,툴륨,Thulium,periodic_element,False,23961,Tm,Tm,NO_CAMEO_GROUP,,,
7440-34-8,악티늄,Actinium,periodic_element,False,23965,Ac,Ac,NO_CAMEO_GROUP,,,
7440-35-9,아메리슘,Americium,periodic_element,False,23966,Am,Am,NO_CAMEO_GROUP,,,
7440-40-6,버클륨,Berkelium,periodic_element,False,23971,Bk,Bk,NO_CAMEO_GROUP,,,
7440-51-9,퀴륨,Curium,periodic_element,False,23979,Cm,Cm,NO_CAMEO_GROUP,,,
7440-52-0,어븀,Erbium,periodic_element,False,23980,Er,Er,NO_CAMEO_GROUP,,,
