set,cas_number,name,verdict,core_axis,reason
corpus96,100-01-6,p-니트로아닐린,DROP,-,방향족 아민/유기 나이트로 대표는 아닐린·나이트로벤젠이 우월
corpus96,100-02-7,p-나이트로페놀,UNCERTAIN,educational,분석화학 pH 지시약·생화학 ALP 기질. 학부 등장 여부가 과목 구성에 따라 갈림
corpus96,100-15-2,N-methyl-4-nitroaniline,DROP,-,방향족 아민 대표는 아닐린(62-53-3)이 우월
corpus96,100-22-1,"N,N,N'',N''-테트라메틸-1,4-페닐렌다이아민",DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,100-64-1,사이클로헥사논 옥심,PROMOTE,representative,옥심 범주 대표 — CORE 커버 0종. 96종 밖에도 더 나은 대표 없음(가장 통용되는 옥심). registry 카프로락탐(105-60-2)의 전구체
corpus96,10025-91-9,삼염화 안티모니(삼염화 안티몬)(ANTIMONY TRICHLORIDE),DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,10026-06-9,"주석 염화물, 펜타수화물(STANNIC CHLORIDE, PENTAHYDRATE)",DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,10026-11-6,"사염화 지르코늄, 고체",DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,10026-13-8,포스포러스 펜타클로라이드,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,10026-17-2,플루오린화 아코발트(플루오르화 아코발트)(COBALTOUS FLUORIDE),DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,10039-54-0,황산 하이드록실아민(HYDROXYLAMINE SULFATE),DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,101-21-3,클로르프로팜,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,101-27-9,Barban,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,10112-91-1,염화 수은(사이클로산),DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,10192-30-0,"이아황산 암모늄, 고체(AMMONIUM BISULFITE, SOLID)",DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,102-08-9,티오카르브아닐리드,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,10241-05-1,오염화 몰리브덴,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,1025-15-6,트리알릴 아이소시아누르산염,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,103-80-0,페닐아세틸 염화물,DROP,-,아실 할라이드 대표는 벤조일 클로라이드(98-88-4)가 우월
corpus96,104-15-4,P-톨루엔설폰 산,PROMOTE,educational,유기화학 산촉매(에스터화·아세탈화·탈수)의 표준 시약. 강산이면서 고체라 보관 형태가 무기산과 다름
corpus96,105-48-6,Isopropyl chloroacetate,DROP,-,에스터 범주 대표는 아세트산에틸(141-78-6)이 우월
corpus96,106-31-0,butyric anhydride,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,106-51-4,퀴논,UNCERTAIN,educational,p-벤조퀴논. 유기화학 산화/Diels-Alder dienophile로 쓰이나 학부 취급 빈도가 중간. 커리큘럼 실측 필요
corpus96,106-87-6,비닐 시클로헥센디옥사이드,DROP,-,에폭사이드 범주 대표는 에피클로로하이드린(106-89-8)이 우월
corpus96,107-04-0,1-브로모-2-클로로에탄,DROP,-,할로겐화 유기물 대표는 다이클로로메테인(75-09-2)이 우월
corpus96,108-60-1,비스(2-클로로아이소프로필)에테르,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,109-52-4,발레르 산,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,110-16-7,말레인 산,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,112-02-7,염화 헥사데실트라이메틸암모늄(염화 헥사데실트리메틸암모늄),PROMOTE,representative,4급 암모늄(양이온 계면활성제) 대표 — CORE 커버 0종. registry는 음이온 계면활성제(SDS·LAS)만 보유. 대안 벤잘코늄클로라이드는 혼합물 CAS라 부적합
corpus96,1120-71-4,프로판 설톤,DROP,-,"설톤 범주는 서비스 가치 낮음(발암성 연구용 시약, 보관 실재성 희박)"
corpus96,115-19-5,2-메틸-3-부틴-2-올,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,117-39-5,케르세틴(QUERCETIN),DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,117-80-6,디클론(DICHLONE),DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,12030-88-5,칼륨 슈퍼산화물,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,12031-80-0,리튬 퍼옥시드,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,12035-72-2,아황화니켈,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,12057-74-8,Magnesium phosphide,DROP,-,금속 인화물 범주는 필요하나 대표는 인화알루미늄(20859-73-8)이 우월 — 국내 곡물 훈증제로 실재성·사고사례 압도적이고 CAMEO 매핑 보유
corpus96,121-17-5,4-클로로-3-나이트로벤조트리플루오르화물,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,12125-01-8,플루오르화 암모늄,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,12136-45-7,산화 칼륨,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,122-66-7,"1,2-다이페닐하이드라진",DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
corpus96,131-52-2,Pentachlorophenol sodium salt; sodium pentachlorophenolate; NaPCP,DROP,-,"CORE 5축 어느 것으로도 편입 근거를 지목할 수 없음(소속 CAMEO 범주는 CORE가 이미 커버하거나, 등록취소 농약·광물충전재 등 보관 실재성 없음)"
